Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del Préstamo Prendario;Nombre corto del Préstamo Prendario;Denominación;Monto máximo otorgable;Monto mínimo otorgable;Plazo máximo otorgable;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Relación cuota/ingreso (%);Relación monto/tasación (%);Destino de los fondos;Beneficiario;Cargo máximo por cancelación anticipada;Tasa efectiva anual máxima;Tipo de Tasa;Costo financiero efectivo total máximo;Cuota inicial a plazo máximo cada $10.000;Territorio de validez de la oferta;Más información
44094;MERCEDES-BENZ COMPAÑÍA FINANCIERA ARGENTINA S.A.;2026-04-14;PLAN TRUCKS 90 PORCIENTO LTV;PLAN TRUCKS 90 PORC;Pesos;326992500;10000;;0;0;100;35,00;90,00;Adquisición de automotores (marcas con convenios con la entidad);MiPyMEs;4,00;45,38;Fija;52,75;1050745,00;Todo el territorio nacional;MARCA MERCEDES-BENZ ARGENTINA - MODELO CAMIONES - LA CUOTA INCIAL A PLAZO MAXIMO INCLUYE EL CARGO POR SEGURO DE LA UNIDAD POR 1050303 PESOS
44094;MERCEDES-BENZ COMPAÑÍA FINANCIERA ARGENTINA S.A.;2026-04-14;PLAN GENERAL AUTOS 90 PORCIENTO LTV;PLAN GENERAL AUTOS 90 LTV;Pesos;202500000;10000;;0;24;74;35,00;90,00;Adquisición de automotores (marcas con convenios con la entidad);Personas humanas en relación de dependencia;4,00;45,38;Fija;61,80;1336526,00;Todo el territorio nacional;MARCA MERCEDES-BENZ ARGENTINA - MODELO AUTOS MB - LA CUOTA INCIAL A PLAZO MAXIMO INCLUYE EL CARGO POR SEGURO DE LA UNIDAD POR 1336022 PESOS
44094;MERCEDES-BENZ COMPAÑÍA FINANCIERA ARGENTINA S.A.;2026-04-14;PLAN SPRINTER 90 PORCIENTO LTV;PLAN SPRINTER 90 LTV;Pesos;114092550;10000;;0;24;74;35,00;90,00;Adquisición de automotores (marcas con convenios con la entidad);Personas humanas Monotributistas;4,00;45,38;Fija;61,80;755299,00;Todo el territorio nacional;MARCA MERCEDES-BENZ ARGENTINA - MODELO SPRINTER MB - LA CUOTA INCIAL A PLAZO MAXIMO INCLUYE EL CARGO POR SEGURO DE LA UNIDAD POR 754795 PESOS
44094;MERCEDES-BENZ COMPAÑÍA FINANCIERA ARGENTINA S.A.;2026-04-14;PLAN GENERAL AUTOS 90 PORCIENTO LTV;PLAN GENERAL AUTOS 90 LTV;Pesos;202500000;10000;;0;24;74;35,00;90,00;Adquisición de automotores (marcas con convenios con la entidad);Personas humanas Monotributistas;4,00;45,38;Fija;61,80;1336526,00;Todo el territorio nacional;MARCA MERCEDES-BENZ ARGENTINA - MODELO AUTOS MB - LA CUOTA INCIAL A PLAZO MAXIMO INCLUYE EL CARGO POR SEGURO DE LA UNIDAD POR 1336022 PESOS
44094;MERCEDES-BENZ COMPAÑÍA FINANCIERA ARGENTINA S.A.;2026-04-14;PLAN SPRINTER 90 PORCIENTO LTV;PLAN SPRINTER 90 LTV;Pesos;114092550;10000;;0;24;74;35,00;90,00;Adquisición de automotores (marcas con convenios con la entidad);Personas humanas en relación de dependencia;4,00;45,38;Fija;61,80;755299,00;Todo el territorio nacional;MARCA MERCEDES-BENZ ARGENTINA - MODELO SPRINTER MB - LA CUOTA INCIAL A PLAZO MAXIMO INCLUYE EL CARGO POR SEGURO DE LA UNIDAD POR 754795 PESOS
44094;MERCEDES-BENZ COMPAÑÍA FINANCIERA ARGENTINA S.A.;2026-04-14;PLAN SPRINTER 90 PORCIENTO LTV;PLAN SPRINTER 90 LTV;Pesos;114092550;10000;;0;0;100;35,00;90,00;Adquisición de automotores (marcas con convenios con la entidad);Personas jurídicas;4,00;45,38;Fija;61,80;755299,00;Todo el territorio nacional;MARCA MERCEDES-BENZ ARGENTINA - MODELO SPRINTER MB - LA CUOTA INCIAL A PLAZO MAXIMO INCLUYE EL CARGO POR SEGURO DE LA UNIDAD POR 754795 PESOS
44095;ROMBO COMPAÑÍA FINANCIERA S.A.;2026-04-16;R 0KM UVA VN ABR26;R 0KM UVA VN ABR26;UVA;50000000;600000;48;0;1;77;25,00;80,00;Adquisición automotores 0 km;Todos los beneficiarios;6,00;29,21;Fija;43,54;374,00;Todo el territorio nacional;EXCLUSIVO PARA 0KM, INCLUYE SEGURO DE AUTO. LA TEA NO INCLUYE EL VALOR DEL IVA .
44095;ROMBO COMPAÑÍA FINANCIERA S.A.;2026-04-16;R USADOS LTV PLUS VO ABR26;R USADOS LTV PLUS VO ABR2;Pesos;50000000;600000;60;0;1;77;40,00;80,00;Adquisición de automotores usados;Todos los beneficiarios;6,00;69,43;Fija;68,37;533,00;Todo el territorio nacional;EXCLUSIVO PARA USADOS, INCLUYE SEGURO DE AUTO. LA TEA NO INCLUYE EL VALOR DEL IVA .
44095;ROMBO COMPAÑÍA FINANCIERA S.A.;2026-04-16;R 0KM CLASSIC ABR26;R 0KM CLASSIC ABR26;Pesos;50000000;600000;60;0;1;77;40,00;80,00;Adquisición automotores 0 km;Todos los beneficiarios;6,00;88,15;Fija;81,26;618,00;Todo el territorio nacional;EXCLUSIVO PARA 0KM, INCLUYE SEGURO DE AUTO. LA TEA NO INCLUYE EL VALOR DEL IVA .
44096;JOHN DEERE CREDIT COMPAÑÍA FINANCIERA S.A.;2026-04-13;PRENDARIO NUEVO USD FIJA 4,90 GASTOS 1,50 5 ANOS TASA LLENA 12,75 LTV 60,00;5PDMZ PN USD 4,90 5A;Dólares estadounidenses;10650267;15000;60;0;36;100;25,00;70,00;Adquisición para capital de trabajo;MiPyMEs;2,00;5,03;Fija;5,92;1200,00;Todo el territorio nacional;MONTO MAXIMO OTORGABLE: 25 POR CIENTO RPC FEBRERO 2026 EN USD. MONTO MINIMO A OTORGAR MENOR A 15000 USD DE MANERA EXCEPCIONAL. TASA EFVA. ANUAL Y COSTO FINANCIERO TOTAL CALCULADOS CON VTOS SEMESTRALES. VARIABLE DE ACUERDO A LAS FECHA DE DESEMBOLSO. NO INCLUYE IVA POR NO SER UN COSTO PARA LOS CLIENTES. CUOTA INICIAL: VTO 6 MESES DE OTORGADO EL PRESTAMO. RELACION CUOTA INGRESO: VALOR MINIMO ACEPTADO, RESULTA DE DIVIDIR MARGEN BRUTO Y TOTAL DE CUOTAS DE PRESTAMOS DEL CLIENTE. INCLUIDO EL QUE ESTA GESTIONANDO EN LA CIA
