Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo de la tarjeta de crédito;Nombre corto de la tarjeta de crédito;Comisión máxima por administración y mantenimiento de la cuenta;Comisión máxima por servicio de renovación;Tasa efectiva anual máxima de interés compensatorio por financiación de saldos;Tasa efectiva anual máxima de interés por adelanto en efectivo;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Segmento;Territorio de validez;Más información
268;BANCO PROVINCIA DE TIERRA DEL FUEGO;2026-04-17;FUEGUINA VISA INTERNACIONAL;TARJETA;9739,00;98026,00;128,91;128,91;700000;0;75;Internacional;Provincia de Tierra del Fuego Antártida e Islas del Atlántico Sur;
268;BANCO PROVINCIA DE TIERRA DEL FUEGO;2026-04-17;FUEGUINA MASTERCARD PLATINUM;TARJETA;9739,00;266310,00;128,71;128,91;2000000;0;75;Premium platinum;Provincia de Tierra del Fuego Antártida e Islas del Atlántico Sur;0
268;BANCO PROVINCIA DE TIERRA DEL FUEGO;2026-04-17;FUEGUINA MASTERCARD BLACK;TARJETA;9739,00;442130,00;128,71;128,91;3000000;0;75;Premium signature, black o similar;Provincia de Tierra del Fuego Antártida e Islas del Atlántico Sur;0
268;BANCO PROVINCIA DE TIERRA DEL FUEGO;2026-04-17;FUEGUINA MASTERCARD REGIONAL;TARJETA;9739,00;103881,00;128,71;128,91;400000;0;75;Nacional;Provincia de Tierra del Fuego Antártida e Islas del Atlántico Sur;
268;BANCO PROVINCIA DE TIERRA DEL FUEGO;2026-04-17;FUEGUINA VISA NACIONAL;TARJETA;9739,00;37912,00;128,91;128,91;400000;0;75;Nacional;Provincia de Tierra del Fuego Antártida e Islas del Atlántico Sur;
269;BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY;2024-06-10;MASTERCARD;MASTERCARD;100,10;484,00;166,31;166,31;0;12;75;Internacional;Ciudad Autónoma de Buenos Aires; 
277;BANCO SAENZ S.A.;2025-12-12;;;;;;;;;;;;
281;BANCO MERIDIAN S.A.;2026-04-14;MASTERCARD PLATINUM BLACK;MASTERCARD;7000,00;200000,00;87,80;;400000;0;75;Premium platinum;Todo el territorio nacional;
285;BANCO MACRO S.A.;2026-04-10;VISA INTERNACIONAL;VISA INTER;15972,00;223608,00;112,70;112,70;28000;6;84;Internacional;Todo el territorio nacional;PUNTO 4 CARGO DE RENOVACION ANUAL SE ENCUENTRA BONIFICADO PARA EL SEGMENTO. PUNTOS 7 Y 8 SE TOMA EL SEGMENTO MERCADO ABIERTO
285;BANCO MACRO S.A.;2026-04-10;AMERICAN EXPRESS INTERNACIONAL;AMEX INTER;15972,00;223608,00;112,70;112,70;28000;6;84;Internacional;Todo el territorio nacional;PUNTO 4 CARGO DE RENOVACION ANUAL SE ENCUENTRA BONIFICADO PARA EL SEGMENTO. PUNTOS 7 Y 8 SE TOMA EL SEGMENTO MERCADO ABIERTO
285;BANCO MACRO S.A.;2026-04-10;MASTERCARD BLACK;MC BLACK;48946,92;999999,99;112,70;112,70;150000;6;84;Premium signature, black o similar;Todo el territorio nacional;PUNTO 4 CARGO DE RENOVACION ANUAL $1021518.30 SE ENCUENTRA BONIFICADO PARA TARJETAS INCLUIDAS EN PAQUETES.
285;BANCO MACRO S.A.;2026-04-10;MASTERCARD INTERNACIONAL;MC INTER;15972,00;223608,00;112,70;112,70;28000;6;84;Internacional;Todo el territorio nacional;PUNTO 4 CARGO DE RENOVACION ANUAL SE ENCUENTRA BONIFICADO PARA EL SEGMENTO. PUNTOS 7 Y 8 SE TOMA EL SEGMENTO MERCADO ABIERTO
285;BANCO MACRO S.A.;2026-04-10;AMERICAN EXPRESS GOLD;AMEX GOLD;19565,70;472989,00;112,70;112,70;48000;6;84;Premium gold;Todo el territorio nacional;PUNTO 4 CARGO DE RENOVACION ANUAL SE ENCUENTRA BONIFICADO PARA TARJETAS INCLUIDAS EN PAQUETES
285;BANCO MACRO S.A.;2026-04-10;VISA CLASSIC NACIONAL;VISA NACIONAL;15972,00;121786,50;112,70;112,70;28000;6;84;Nacional;Todo el territorio nacional;PUNTO 4 CARGO DE RENOVACION ANUAL SE ENCUENTRA BONIFICADO PARA EL SEGMENTO. PUNTOS 7 Y 8 SE TOMA EL SEGMENTO MERCADO ABIERTO
285;BANCO MACRO S.A.;2026-04-10;AMERICAN EXPRESS PLATINUM;AMEX PLAT;22457,60;736944,45;112,70;112,70;96000;6;84;Premium platinum;Todo el territorio nacional;PUNTO 4 CARGO DE RENOVACION ANUAL SE ENCUENTRA BONIFICADO PARA TARJETAS INCLUIDAS EN PAQUETES
285;BANCO MACRO S.A.;2026-04-10;VISA GOLD;VISA GOLD;19565,70;472989,00;112,70;112,70;48000;6;84;Premium gold;Todo el territorio nacional;PUNTO 4 CARGO DE RENOVACION ANUAL SE ENCUENTRA BONIFICADO PARA TARJETAS INCLUIDAS EN PAQUETES
285;BANCO MACRO S.A.;2026-04-10;MASTERCARD PLATINUM;MC PLAT;22457,60;736944,45;112,70;112,70;96000;6;84;Premium platinum;Todo el territorio nacional;PUNTO 4 CARGO DE RENOVACION ANUAL SE ENCUENTRA BONIFICADO PARA TARJETAS INCLUIDAS EN PAQUETES
285;BANCO MACRO S.A.;2026-04-10;VISA SIGNATURE;VISA SIGNAT;48946,92;999999,99;112,70;112,70;150000;6;84;Premium signature, black o similar;Todo el territorio nacional;PUNTO 4 CARGO DE RENOVACION ANUAL $1021518.30 SE ENCUENTRA BONIFICADO PARA TARJETAS INCLUIDAS EN PAQUETES.
285;BANCO MACRO S.A.;2026-04-10;AMERICAN EXPRESS ICON;AMEX ICON;48946,92;999999,99;112,70;112,70;150000;6;84;Premium platinum;Todo el territorio nacional;PUNTO 4 CARGO DE RENOVACION ANUAL $1021518.30 SE ENCUENTRA BONIFICADO PARA TARJETAS INCLUIDAS EN PAQUETES.
285;BANCO MACRO S.A.;2026-04-10;MASTERCARD REGIONAL;MC REG;15972,00;121786,50;112,70;112,70;28000;6;84;Nacional;Todo el territorio nacional;PUNTO 4 CARGO DE RENOVACION ANUAL SE ENCUENTRA BONIFICADO PARA EL SEGMENTO. PUNTOS 7 Y 8 SE TOMA EL SEGMENTO MERCADO ABIERTO
285;BANCO MACRO S.A.;2026-04-10;VISA PLATINUM;VISA PLAT;22457,60;736944,45;112,70;112,70;96000;6;84;Premium platinum;Todo el territorio nacional;PUNTO 4 CARGO DE RENOVACION ANUAL SE ENCUENTRA BONIFICADO PARA TARJETAS INCLUIDAS EN PAQUETES
285;BANCO MACRO S.A.;2026-04-10;MASTERCARD GOLD;MC GOLD;19565,70;472989,00;112,70;112,70;48000;6;84;Premium gold;Todo el territorio nacional;PUNTO 4 CARGO DE RENOVACION ANUAL SE ENCUENTRA BONIFICADO PARA TARJETAS INCLUIDAS EN PAQUETES
299;BANCO COMAFI SOCIEDAD ANONIMA;2026-03-31;MASTERCARD INTERNACIONAL;MC INT;8372,38;137305,17;122,20;122,20;10000;6;100;Internacional;Todo el territorio nacional;PROGRAMAS DE BENEFICIOS TE VA BIEN Y TE VA BIEN SUMA
299;BANCO COMAFI SOCIEDAD ANONIMA;2026-03-31;VISA NACIONAL;VISA NAC;8372,38;81410,63;122,20;122,20;10000;6;100;Nacional;Todo el territorio nacional;PROGRAMAS DE BENEFICIOS TE VA BIEN Y TE VA BIEN SUMA
299;BANCO COMAFI SOCIEDAD ANONIMA;2026-03-31;VISA GOLD ;VISA GOLD;8372,38;276609,51;122,20;122,20;10000;6;100;Premium gold;Todo el territorio nacional;PROGRAMAS DE BENEFICIOS TE VA BIEN Y TE VA BIEN SUMA
299;BANCO COMAFI SOCIEDAD ANONIMA;2026-03-31;MASTECARD GOLD;MC GOLD;8372,38;276609,51;122,20;122,20;10000;6;100;Premium gold;Todo el territorio nacional;PROGRAMAS DE BENEFICIOS TE VA BIEN Y TE VA BIEN SUMA
299;BANCO COMAFI SOCIEDAD ANONIMA;2026-03-31;VISA SIGNATURE;VISA SIG;8372,38;522099,62;122,20;122,20;65000;6;100;Premium signature, black o similar;Todo el territorio nacional;PROGRAMAS DE BENEFICIOS TE VA BIEN Y TE VA BIEN SUMA
299;BANCO COMAFI SOCIEDAD ANONIMA;2026-03-31;VISA PLATINUM;VISA PLAT;8372,38;391530,22;122,20;122,20;35000;6;100;Premium signature, black o similar;Todo el territorio nacional;PROGRAMAS DE BENEFICIOS TE VA BIEN Y TE VA BIEN SUMA
299;BANCO COMAFI SOCIEDAD ANONIMA;2026-03-31;MC BLACK;MC BLACK;8372,38;522099,62;122,20;122,20;65000;6;100;Premium signature, black o similar;Todo el territorio nacional;PROGRAMAS DE BENEFICIOS TE VA BIEN Y TE VA BIEN SUMA
299;BANCO COMAFI SOCIEDAD ANONIMA;2026-03-31;MC PLATINUM;MC PLAT;8372,38;391530,22;122,20;122,20;35000;6;100;Premium signature, black o similar;Todo el territorio nacional;PROGRAMAS DE BENEFICIOS TE VA BIEN Y TE VA BIEN SUMA
299;BANCO COMAFI SOCIEDAD ANONIMA;2026-03-31;VISA CLASSIC INTERNACIONAL;VISA INT;8372,38;137305,17;122,20;122,20;10000;6;100;Internacional;Todo el territorio nacional;PROGRAMAS DE BENEFICIOS TE VA BIEN Y TE VA BIEN SUMA
309;BANCO RIOJA SOCIEDAD ANONIMA UNIPERSONAL;2025-09-18;TC VISA GOLD;VISA;4210,00;110110,00;141,27;141,27;644400;6;95;Premium gold;Todo el territorio nacional;
309;BANCO RIOJA SOCIEDAD ANONIMA UNIPERSONAL;2025-09-18;TC VISA INTERNACIONAL;VISA;4210,00;55055,00;141,27;141,27;161100;6;95;Internacional;Todo el territorio nacional;
309;BANCO RIOJA SOCIEDAD ANONIMA UNIPERSONAL;2025-09-18;TC MASTERCARD INTERNACIONAL;MASTERCARD;4210,00;55055,00;141,27;141,27;161100;6;95;Internacional;Todo el territorio nacional;
309;BANCO RIOJA SOCIEDAD ANONIMA UNIPERSONAL;2025-09-18;TC MASTERCARD GOLD;MASTERCARD;4210,00;110110,00;141,27;141,27;644400;6;95;Premium gold;Todo el territorio nacional;
309;BANCO RIOJA SOCIEDAD ANONIMA UNIPERSONAL;2025-09-18;TC MASTERCARD BLACK;MASTERCARD;4210,00;297700,00;141,27;141,27;1933200;6;95;Premium signature, black o similar;Todo el territorio nacional;
309;BANCO RIOJA SOCIEDAD ANONIMA UNIPERSONAL;2025-09-18;TC VISA BUSINESS;VISA;4210,00;55055,00;141,27;141,27;161100;6;95;Premium platinum;Todo el territorio nacional;
309;BANCO RIOJA SOCIEDAD ANONIMA UNIPERSONAL;2025-09-18;TC MASTERCARD PLATINUM;MASTERCARD;4210,00;213500,00;141,27;141,27;1288800;6;95;Premium platinum;Todo el territorio nacional;
310;BANCO DEL SOL S.A.;2026-04-08;TARJETA DE CREDITO MASTERCARD;MASTER GOLD;15000,00;192500,00;150,42;150,42;40000;3;85;Premium gold;Todo el territorio nacional;LAS TEA NO INCLUYEN IVA
310;BANCO DEL SOL S.A.;2026-04-08;TARJETA DE CREDITO MASTERCARD;MASTER BLACK;15000,00;350000,00;150,42;150,42;40000;3;85;Premium signature, black o similar;Todo el territorio nacional;LAS TEA NO INCLUYEN IVA
310;BANCO DEL SOL S.A.;2026-04-08;TARJETA DE CREDITO MASTERCARD;MASTER PLATINUM;15000,00;262500,00;150,42;150,42;40000;3;85;Premium platinum;Todo el territorio nacional;LAS TEA NO INCLUYEN IVA
310;BANCO DEL SOL S.A.;2026-04-08;TARJETA DE CREDITO MASTERCARD;MASTER INTERNACIONAL;15000,00;90000,00;150,42;150,42;40000;3;85;Internacional;Todo el territorio nacional;LAS TEA NO INCLUYEN IVA
311;NUEVO BANCO DEL CHACO S. A.;2026-04-15;VISA;VISA;8615,20;304745,76;86,50;86,50;0;0;100;Premium gold;Todo el territorio nacional;
311;NUEVO BANCO DEL CHACO S. A.;2026-04-15;MASTERCARD;MASTERCARD;8615,20;183997,44;86,50;86,50;0;0;100;Premium gold;Todo el territorio nacional;
311;NUEVO BANCO DEL CHACO S. A.;2026-04-15;MASTERCARD;MASTERCARD;8615,20;107777,12;86,50;86,50;0;0;100;Premium platinum;Todo el territorio nacional;
311;NUEVO BANCO DEL CHACO S. A.;2026-04-15;MASTERCARD;MASTERCARD;8615,20;304745,76;86,50;86,50;0;0;100;Internacional;Todo el territorio nacional;
311;NUEVO BANCO DEL CHACO S. A.;2026-04-15;VISA;VISA;8615,20;406320,42;86,50;86,50;0;0;100;Internacional;Todo el territorio nacional;
311;NUEVO BANCO DEL CHACO S. A.;2026-04-15;VISA;VISA;8615,20;107777,12;86,50;86,50;0;0;100;Premium signature, black o similar;Todo el territorio nacional;
311;NUEVO BANCO DEL CHACO S. A.;2026-04-15;CABAL;CABAL;8615,20;107777,12;86,50;86,50;0;0;100;Nacional;Todo el territorio nacional;
311;NUEVO BANCO DEL CHACO S. A.;2026-04-15;VISA;VISA;8615,20;107777,12;86,50;86,50;0;0;100;Nacional;Todo el territorio nacional;
311;NUEVO BANCO DEL CHACO S. A.;2026-04-15;MASTERCARD;MASTERCARD;8615,20;107777,12;86,50;86,50;0;0;100;Premium signature, black o similar;Todo el territorio nacional;
311;NUEVO BANCO DEL CHACO S. A.;2026-04-15;MASTERCARD;MASTERCARD;8615,20;406320,42;86,50;86,50;0;0;100;Nacional;Todo el territorio nacional;
311;NUEVO BANCO DEL CHACO S. A.;2026-04-15;TUYA;TUYA;8615,20;64028,36;86,50;86,50;0;0;100;Nacional;Todo el territorio nacional;
311;NUEVO BANCO DEL CHACO S. A.;2026-04-15;VISA;VISA;8615,20;183997,44;86,50;86,50;0;0;100;Premium platinum;Todo el territorio nacional;
315;BANCO DE FORMOSA S.A.;2026-03-31;TARJETA VISA INTERNACIONAL;TARJETA VISA INTERNACIONA;15730,00;125840,00;101,27;101,27;1000;6;85;Internacional;Todo el territorio nacional;
315;BANCO DE FORMOSA S.A.;2026-03-31;TARJETA CABAL CHIGUE;TARJETA CABAL CHIGUE;15730,00;95590,00;101,27;101,27;1000;6;85;Internacional;Todo el territorio nacional;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA MASTERCARD;TARJETA MASTERCARD;4840,00;48400,00;128,48;128,48;2000;3;100;Nacional;Provincia de Catamarca;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA MASTERCARD;TARJETA MASTERCARD;4840,00;48400,00;128,48;128,48;2000;3;100;Nacional;Provincia de Buenos Aires;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA SOL;TARJETA SOL;8470,00;19360,00;128,48;128,48;500;3;77;Nacional;Provincia de Santiago del Estero;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA MASTERCARD;TARJETA MASTERCARD;4840,00;48400,00;128,48;128,48;2000;3;100;Premium gold;Provincia de Buenos Aires;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA MASTERCARD;TARJETA MASTERCARD;4840,00;48400,00;128,48;128,48;2000;3;100;Internacional;Provincia de Buenos Aires;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA VISA;TARJETA VISA;4840,00;48400,00;128,48;128,48;2000;3;100;Internacional;Provincia de Buenos Aires;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA MASTERCARD;TARJETA MASTERCARD;4840,00;48400,00;128,48;128,48;2000;3;100;Internacional;Provincia de Tucumán;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA MASTERCARD;TARJETA MASTERCARD;4840,00;48400,00;128,48;128,48;2000;3;100;Nacional;Provincia de Tucumán;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA MASTERCARD;TARJETA MASTERCARD;4840,00;48400,00;128,48;128,48;2000;3;100;Premium gold;Provincia de Tucumán;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA VISA;TARJETA VISA;285,56;135,52;112,98;112,98;2000;3;100;Nacional;Provincia de Buenos Aires;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA VISA;TARJETA VISA;4840,00;48400,00;128,48;128,48;2000;3;100;Nacional;Provincia de Tucumán;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA SOL;TARJETA SOL;8470,00;19360,00;128,48;128,48;500;3;77;Nacional;Provincia de Tucumán;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA VISA;TARJETA VISA;4840,00;48400,00;128,48;128,48;2000;3;100;Nacional;Provincia de Catamarca;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA SOL;TARJETA SOL;8470,00;19360,00;128,48;128,48;500;3;77;Nacional;Provincia de Salta;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA VISA;TARJETA VISA;4840,00;48400,00;128,48;128,48;2000;3;100;Internacional;Provincia de Catamarca;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA SOL;TARJETA SOL;8470,00;19360,00;128,48;128,48;500;3;77;Nacional;Provincia de Catamarca;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA MASTERCARD;TARJETA MASTERCARD;4840,00;48400,00;128,48;128,48;2000;3;100;Internacional;Provincia de Catamarca;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA MASTERCARD;TARJETA MASTERCARD;4840,00;48400,00;128,48;128,48;2000;3;100;Premium gold;Provincia de Catamarca;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA VISA;TARJETA VISA;4840,00;48400,00;128,48;128,48;2000;3;100;Internacional;Provincia de Tucumán;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA MASTERCARD;TARJETA MASTERCARD;4840,00;48400,00;128,48;128,48;2000;3;100;Nacional;Provincia de Santiago del Estero;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA MASTERCARD;TARJETA MASTERCARD;4840,00;48400,00;128,48;128,48;2000;3;100;Premium gold;Provincia de Santiago del Estero;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA VISA;TARJETA VISA;4840,00;48400,00;128,48;128,48;2000;3;100;Nacional;Provincia de Santiago del Estero;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA VISA;TARJETA VISA;4840,00;48400,00;128,48;128,48;2000;3;100;Internacional;Provincia de Santiago del Estero;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA MASTERCARD;TARJETA MASTERCARD;4840,00;48400,00;128,48;128,48;2000;3;100;Internacional;Provincia de Córdoba;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA MASTERCARD;TARJETA MASTERCARD;4840,00;48400,00;128,48;128,48;2000;3;100;Internacional;Provincia de Santiago del Estero;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA MASTERCARD;TARJETA MASTERCARD;4840,00;48400,00;128,48;128,48;2000;3;100;Premium gold;Provincia de Córdoba;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA MASTERCARD;TARJETA MASTERCARD;4840,00;48400,00;128,48;128,48;2000;3;100;Nacional;Provincia de Córdoba;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA SOL;TARJETA SOL;8470,00;19360,00;128,48;128,48;500;3;77;Nacional;Provincia de Córdoba;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA VISA;TARJETA VISA;4840,00;48400,00;128,48;128,48;2000;3;100;Nacional;Provincia de Córdoba;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA VISA;TARJETA VISA;4840,00;48400,00;128,48;128,48;2000;3;100;Internacional;Provincia de Córdoba;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA VISA;TARJETA VISA;4840,00;145200,00;128,48;128,48;500;3;100;Premium signature, black o similar;Todo el territorio nacional;
321;BANCO DE SANTIAGO DEL ESTERO S.A.;2025-09-04;TARJETA SOL;TARJETA SOL;8470,00;19360,00;128,48;128,48;500;3;77;Nacional;Provincia de Jujuy;
322;BANCO INDUSTRIAL S.A.;2025-08-01;VISA GOLD;VISA GOLD;12116,94;389692,60;214,07;214,07;500000;12;63;Premium gold;Todo el territorio nacional;SERVICIO DE RENOVACION BONIFICADO PARA TARJETAS INCLUIDAS EN PAQUETES
322;BANCO INDUSTRIAL S.A.;2025-08-01;VISA GOLD;VISA GOLD;12116,94;389692,60;214,07;214,07;500000;12;84;Premium gold;Todo el territorio nacional;SERVICIO DE RENOVACION BONIFICADO PARA TARJETAS INCLUIDAS EN PAQUETES
322;BANCO INDUSTRIAL S.A.;2025-08-01;VISA PLATINUM;VISA PLATINUM;12116,94;531905,11;214,07;214,07;1250000;12;84;Premium platinum;Todo el territorio nacional;SERVICIO DE RENOVACION BONIFICADO PARA TARJETAS INCLUIDAS EN PAQUETES
322;BANCO INDUSTRIAL S.A.;2025-08-01;VISA PLATINUM;VISA PLATINUM;12116,94;531905,11;214,07;214,07;1250000;12;63;Premium platinum;Todo el territorio nacional;SERVICIO DE RENOVACION BONIFICADO PARA TARJETAS INCLUIDAS EN PAQUETES
322;BANCO INDUSTRIAL S.A.;2025-08-01;VISA INTERNACIONAL;VISA INTERNACIONAL;12116,94;184307,20;214,07;214,07;80000;12;63;Internacional;Todo el territorio nacional;SERVICIO DE RENOVACION BONIFICADO PARA TARJETAS INCLUIDAS EN PAQUETES
322;BANCO INDUSTRIAL S.A.;2025-08-01;VISA INTERNACIONAL;VISA INTERNACIONAL;12116,94;184307,20;214,07;214,07;80000;12;84;Internacional;Todo el territorio nacional;SERVICIO DE RENOVACION BONIFICADO PARA TARJETAS INCLUIDAS EN PAQUETES
322;BANCO INDUSTRIAL S.A.;2025-08-01;VISA SIGNATURE;VISA SIGNATURE;12116,94;716229,25;214,07;214,07;2000000;12;84;Premium signature, black o similar;Todo el territorio nacional;SERVICIO DE RENOVACION BONIFICADO PARA TARJETAS INCLUIDAS EN PAQUETES
322;BANCO INDUSTRIAL S.A.;2025-08-01;VISA SIGNATURE;VISA SIGNATURE;12116,94;716229,25;214,07;214,07;2000000;12;63;Premium signature, black o similar;Todo el territorio nacional;SERVICIO DE RENOVACION BONIFICADO PARA TARJETAS INCLUIDAS EN PAQUETES
330;NUEVO BANCO DE SANTA FE SOCIEDAD ANONIMA;2026-04-07;VISA INTERNACIONAL;VISA INTERNACIONAL;10350,00;206267,00;145,02;145,02;352400;0;83;Internacional;Todo el territorio nacional;SERVICIO DE RENOVACION ANUAL: SE BONIFICA TOTAL O PARCIALMENTE, EN FUNCION DE LOS CONSUMOS, SEGUN EL PROGRAMA SUMA PUNTOS.SERVICIO DE RENOVACION ANUAL Y MANTENIMIENTO DE CUENTA:TARJETAS ASOCIADAS A PAQUETE DE CUENTAS BONIFICADO 100 PORCIENTO
332;BANCO DE SERVICIOS FINANCIEROS CARREFOUR SAU;2026-03-26;TARJETA CARREFOUR MASTERCARD GOLD;MC GOLD;10695,19;68573,12;118,00;118,00;0;0;100;Premium gold;Todo el territorio nacional;
332;BANCO DE SERVICIOS FINANCIEROS CARREFOUR SAU;2026-03-26;TARJETA CARREFOUR;TARJETA CARREFOUR;10695,19;51578,67;118,00;118,00;0;0;100;Nacional;Todo el territorio nacional;
332;BANCO DE SERVICIOS FINANCIEROS CARREFOUR SAU;2026-03-26;TARJETA CARREFOUR MASTERCARD PLATINIUM;MC PLATINIUM;10695,19;121458,59;118,00;118,00;0;0;100;Premium platinum;Todo el territorio nacional;
332;BANCO DE SERVICIOS FINANCIEROS CARREFOUR SAU;2026-03-26;TARJETA CARREFOUR MASTERCARD INTERNACIONAL;MC INT;10695,19;51578,67;118,00;118,00;0;0;100;Internacional;Todo el territorio nacional;
332;BANCO DE SERVICIOS FINANCIEROS CARREFOUR SAU;2026-03-26;MI CARREFOUR PREPAGA;MI CARREFOUR PREPAGA;1028,50;,00;,00;,00;0;0;100;Nacional;Todo el territorio nacional;
332;BANCO DE SERVICIOS FINANCIEROS CARREFOUR SAU;2026-03-26;TARJETA CARREFOUR MASTERCARD BLACK;MC BLACK;10695,19;176263,12;118,00;118,00;0;0;100;Premium signature, black o similar;Todo el territorio nacional;
341;BANCO MASVENTAS S.A.;2026-03-16;000DMASTERCARD GOLD;MC GOL;8780,97;205635,52;138,28;138,28;900;3;80;Premium gold;Provincia de Salta;000A
341;BANCO MASVENTAS S.A.;2026-03-16;000DMASTERCARD NACIONAL;MC NAC;8780,97;79068,82;138,28;138,28;900;3;80;Nacional;Provincia de Salta;000A
341;BANCO MASVENTAS S.A.;2026-03-16;000DMASTERCARD INTERNACIONAL;MC INT;8780,97;102789,48;138,28;138,28;900;3;80;Internacional;Provincia de Salta;000A
341;BANCO MASVENTAS S.A.;2026-03-16;000DVISA GOLD;VISA GOLD;8780,97;205635,52;138,28;138,28;900;3;80;Premium gold;Provincia de Salta;000A
341;BANCO MASVENTAS S.A.;2026-03-16;000DVISA INTERNACIONAL;VISA INT;8780,97;102789,48;138,28;138,28;900;3;80;Internacional;Provincia de Salta;000A
341;BANCO MASVENTAS S.A.;2026-03-16;000DVISA NACIONAL;VISA NAC;8780,97;79068,82;138,28;138,28;900;3;80;Nacional;Provincia de Salta;000A
341;BANCO MASVENTAS S.A.;2026-03-16;000DMASTERCARD BLACK;MC BLA;8780,97;315307,96;138,28;138,28;900;3;80;Premium signature, black o similar;Provincia de Salta;000A
341;BANCO MASVENTAS S.A.;2026-03-16;000DVISA SIGNATURE;VISA SIG;8780,97;315307,96;138,28;138,28;900;3;80;Premium signature, black o similar;Provincia de Salta;0000A
341;BANCO MASVENTAS S.A.;2026-03-16;000DMASTERCARD PLATINUM;MC PLA;8780,97;274180,78;138,28;138,28;900;3;80;Premium platinum;Provincia de Salta;000A
341;BANCO MASVENTAS S.A.;2026-03-16;000DVISA PLATINUM;VISA PLA;8780,97;315307,96;138,28;138,28;900;3;80;Premium platinum;Provincia de Salta;000A
341;BANCO MASVENTAS S.A.;2026-03-16;000DVISA INTERNACIONAL;VISA INT;8780,97;102789,48;138,28;138,28;900;3;80;Internacional;Provincia de Jujuy;000A
341;BANCO MASVENTAS S.A.;2026-03-16;000DMASTERCARD NACIONAL;MC NAC;8780,97;79068,82;138,28;138,28;900;3;80;Nacional;Provincia de Jujuy;000A
341;BANCO MASVENTAS S.A.;2026-03-16;000DVISA SIGNATURE;VISA SIG;8780,97;315307,96;138,28;138,28;900;3;80;Premium signature, black o similar;Provincia de Jujuy;0000A
341;BANCO MASVENTAS S.A.;2026-03-16;000DMASTERCARD BLACK;MC BLA;8780,97;315307,96;138,28;138,28;900;3;80;Premium signature, black o similar;Provincia de Jujuy;000A
341;BANCO MASVENTAS S.A.;2026-03-16;000DVISA NACIONAL;VISA NAC;8780,97;79068,82;138,28;138,28;900;3;80;Nacional;Provincia de Jujuy;000A
341;BANCO MASVENTAS S.A.;2026-03-16;000DMASTERCARD GOLD;MC GOL;8780,97;205635,52;138,28;138,28;900;3;80;Premium gold;Provincia de Jujuy;000A
341;BANCO MASVENTAS S.A.;2026-03-16;000DMASTERCARD PLATINUM;MC PLA;8780,97;274180,78;138,28;138,28;900;3;80;Premium platinum;Provincia de Jujuy;0000A
341;BANCO MASVENTAS S.A.;2026-03-16;000DMASTERCARD INTERNACIONAL;MC INT;8780,97;102789,48;138,28;138,28;900;3;80;Internacional;Provincia de Jujuy;000A
