Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del Préstamo Personal;Nombre corto del Préstamo Personal;Denominación;Monto máximo otorgable;Monto mínimo otorgable;Plazo máximo otorgable;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Relación cuota/ingreso (%);Beneficiario;Cargo máximo por cancelación anticipada;Tasa efectiva anual máxima;Tipo de Tasa;Costo financiero efectivo total máximo;Cuota inicial a plazo máximo cada $10.000;Territorio de validez de la oferta;Más información
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;PV - INICIAL SGTE;PV - INICIAL SGTE;Pesos;515000;1000;18;0;12;75;45,00;Personas humanas Responsables Inscriptos;8,40;381,79;Fija;553,97;2336,00;Provincia de Córdoba;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO CGTE;DD - PAQ.CTA MTM ORO CGTE;Pesos;20500000;45000;12;22000;12;75;45,00;Clientes que acrediten sueldos en la entidad;8,40;144,37;Fija;192,40;1702,00;Provincia de Mendoza;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  SGTE;DD-PAQ.CTA MTM PROM SGTE;Pesos;15400000;45000;36;35000;12;75;45,00;Personas humanas Monotributistas;8,40;104,89;Fija;136,95;1284,00;Provincia de Córdoba;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM SGTE;DD - PAQ. CTA. MTM SGTE;Pesos;2050000;1000;36;0;12;75;45,00;Personas humanas Responsables Inscriptos;8,40;181,27;Fija;245,71;1790,00;Provincia de Mendoza;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO SGTE;DD - PAQ.CTA MTM ORO SGTE;Pesos;15400000;45000;12;22000;12;75;45,00;Personas humanas Responsables Inscriptos;8,40;173,02;Fija;233,68;1807,00;Provincia de Córdoba;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  SGTE;DD-PAQ.CTA MTM PROM SGTE;Pesos;15400000;45000;12;35000;12;75;45,00;Personas humanas Responsables Inscriptos;8,40;156,33;Fija;209,54;1747,00;Provincia de Mendoza;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;PV - PRESTAMO EXPRESS;PV - PRESTAMO EXPRESS;Pesos;205000;1000;12;0;12;75;45,00;Personas humanas Responsables Inscriptos;8,40;381,79;Fija;553,97;2395,00;Provincia de Córdoba;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  SGTE;DD-PAQ.CTA MTM PROM SGTE;Pesos;15400000;45000;12;35000;12;75;45,00;Empleados públicos;8,40;156,33;Fija;209,54;1747,00;Provincia de Mendoza;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO CGTE;DD - PAQ.CTA MTM ORO CGTE;Pesos;20500000;45000;12;22000;12;75;45,00;Personas humanas Responsables Inscriptos;8,40;144,37;Fija;192,40;1702,00;Provincia de Córdoba;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  SGTE;DD-PAQ.CTA MTM PROM SGTE;Pesos;15400000;45000;12;35000;12;75;45,00;Clientes con cuenta en la entidad;8,40;156,33;Fija;209,54;1747,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO SGTE;DD - PAQ.CTA MTM ORO SGTE;Pesos;20500000;45000;36;22000;12;75;45,00;Clientes que acrediten sueldos en la entidad;8,40;118,49;Fija;155,86;1380,00;Provincia de Córdoba;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM CGTE;DD - PAQ. CTA. MTM CGTE;Pesos;2050000;1000;12;0;12;75;45,00;Personas humanas Responsables Inscriptos;8,40;213,84;Fija;293,79;1950,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM CGTE;DD - PAQ. CTA. MTM CGTE;Pesos;2050000;1000;12;0;12;75;45,00;Personas humanas en relación de dependencia;8,40;213,84;Fija;293,79;1950,00;Provincia de Córdoba;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO SGTE;DD - PAQ.CTA MTM ORO SGTE;Pesos;15400000;45000;12;22000;12;75;45,00;Personas humanas Responsables Inscriptos;8,40;173,02;Fija;233,68;1807,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;PV - INICIAL SGTE;PV - INICIAL SGTE;Pesos;515000;1000;18;0;12;75;45,00;Personas humanas en relación de dependencia;8,40;381,79;Fija;553,97;2336,00;Provincia de Córdoba;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO CGTE;DD - PAQ.CTA MTM ORO CGTE;Pesos;20500000;45000;12;22000;12;75;45,00;Personas humanas en relación de dependencia;8,40;144,37;Fija;192,40;1702,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM CGTE;DD - PAQ. CTA. MTM CGTE;Pesos;2050000;1000;36;0;12;75;45,00;Personas humanas en relación de dependencia;8,40;151,82;Fija;203,06;1605,00;Provincia de Córdoba;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM CGTE;DD - PAQ. CTA. MTM CGTE;Pesos;2050000;1000;12;0;12;75;45,00;Personas humanas en relación de dependencia;8,40;213,84;Fija;293,79;1950,00;Provincia de Mendoza;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM SGTE;DD - PAQ. CTA. MTM SGTE;Pesos;2050000;1000;12;0;12;75;45,00;Personas humanas en relación de dependencia;8,40;249,85;Fija;347,94;2070,00;Provincia de Córdoba;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO CGTE;DD - PAQ.CTA MTM ORO CGTE;Pesos;20500000;45000;12;22000;12;75;45,00;Personas humanas Responsables Inscriptos;8,40;144,37;Fija;192,40;1702,00;Provincia de Mendoza;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  CGTE;DD-PAQ.CTA MTM PROM CGTE;Pesos;20500000;45000;12;35000;12;75;45,00;Personas humanas en relación de dependencia;8,40;129,29;Fija;171,02;1644,00;Provincia de Córdoba;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM CGTE;DD - PAQ. CTA. MTM CGTE;Pesos;2050000;1000;36;0;12;75;45,00;Empleados públicos;8,40;151,82;Fija;203,06;1605,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO CGTE;DD - PAQ.CTA MTM ORO CGTE;Pesos;20500000;45000;12;22000;12;75;45,00;Empleados públicos;8,40;144,37;Fija;192,40;1702,00;Provincia de Córdoba;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  CGTE;DD-PAQ.CTA MTM PROM CGTE;Pesos;20500000;45000;12;35000;12;75;45,00;Empleados públicos;8,40;129,29;Fija;171,02;1644,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO SGTE;DD - PAQ.CTA MTM ORO SGTE;Pesos;15400000;45000;12;22000;12;75;45,00;Empleados públicos;8,40;173,02;Fija;233,68;1807,00;Provincia de Córdoba;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO CGTE;DD - PAQ.CTA MTM ORO CGTE;Pesos;20500000;45000;36;22000;12;75;45,00;Personas humanas Responsables Inscriptos;8,40;95,15;Fija;123,54;1213,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  SGTE;DD-PAQ.CTA MTM PROM SGTE;Pesos;15400000;45000;12;35000;12;75;45,00;Personas humanas en relación de dependencia;8,40;156,33;Fija;209,54;1747,00;Provincia de Córdoba;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  SGTE;DD-PAQ.CTA MTM PROM SGTE;Pesos;15400000;45000;36;35000;12;75;45,00;Clientes con cuenta en la entidad;8,40;104,89;Fija;136,95;1284,00;Provincia de Mendoza;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  CGTE;DD-PAQ.CTA MTM PROM CGTE;Pesos;20500000;45000;36;35000;12;75;45,00;Empleados públicos;8,40;82,90;Fija;106,84;1121,00;Provincia de Córdoba;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM SGTE;DD - PAQ. CTA. MTM SGTE;Pesos;2050000;1000;36;0;12;75;45,00;Clientes que acrediten sueldos en la entidad;8,40;181,27;Fija;245,71;1790,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  SGTE;DD-PAQ.CTA MTM PROM SGTE;Pesos;15400000;45000;12;35000;12;75;45,00;Personas humanas en relación de dependencia;8,40;156,33;Fija;209,54;1747,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO SGTE;DD - PAQ.CTA MTM ORO SGTE;Pesos;15400000;45000;12;22000;12;75;45,00;Clientes con cuenta en la entidad;8,40;173,02;Fija;233,68;1807,00;Provincia de Mendoza;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM SGTE;DD - PAQ. CTA. MTM SGTE;Pesos;2050000;1000;12;0;12;75;45,00;Clientes que acrediten sueldos en la entidad;8,40;249,85;Fija;347,94;2070,00;Provincia de Mendoza;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  SGTE;DD-PAQ.CTA MTM PROM SGTE;Pesos;15400000;45000;12;35000;12;75;45,00;Empleados públicos;8,40;156,33;Fija;209,54;1747,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  SGTE;DD-PAQ.CTA MTM PROM SGTE;Pesos;15400000;45000;12;35000;12;75;45,00;Personas humanas Responsables Inscriptos;8,40;156,33;Fija;209,54;1747,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;PV - PRESTAMO EXPRESS;PV - PRESTAMO EXPRESS;Pesos;205000;1000;12;0;12;75;45,00;Personas humanas en relación de dependencia;8,40;381,79;Fija;553,97;2395,00;Provincia de Mendoza;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM CGTE;DD - PAQ. CTA. MTM CGTE;Pesos;2050000;1000;12;0;12;75;45,00;Clientes que acrediten sueldos en la entidad;8,40;213,84;Fija;293,79;1950,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  CGTE;DD-PAQ.CTA MTM PROM CGTE;Pesos;20500000;45000;36;35000;12;75;45,00;Clientes que acrediten sueldos en la entidad;8,40;82,90;Fija;106,84;1121,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO SGTE;DD - PAQ.CTA MTM ORO SGTE;Pesos;20500000;45000;36;22000;12;75;45,00;Clientes que acrediten sueldos en la entidad;8,40;118,49;Fija;155,86;1380,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM SGTE;DD - PAQ. CTA. MTM SGTE;Pesos;2050000;1000;12;0;12;75;45,00;Clientes que acrediten sueldos en la entidad;8,40;249,85;Fija;347,94;2070,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;PV - INICIAL SGTE;PV - INICIAL SGTE;Pesos;515000;1000;18;0;12;75;45,00;Personas humanas Responsables Inscriptos;8,40;381,79;Fija;553,97;2336,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO SGTE;DD - PAQ.CTA MTM ORO SGTE;Pesos;15400000;45000;12;22000;12;75;45,00;Clientes con cuenta en la entidad;8,40;173,02;Fija;233,68;1807,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  CGTE;DD-PAQ.CTA MTM PROM CGTE;Pesos;20500000;45000;12;35000;12;75;45,00;Personas humanas en relación de dependencia;8,40;129,29;Fija;171,02;1644,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  CGTE;DD-PAQ.CTA MTM PROM CGTE;Pesos;20500000;45000;12;35000;12;75;45,00;Clientes con cuenta en la entidad;8,40;129,29;Fija;171,02;1644,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;PV - PRESTAMO EXPRESS;PV - PRESTAMO EXPRESS;Pesos;205000;1000;12;0;12;75;45,00;Personas humanas en relación de dependencia;8,40;381,79;Fija;553,97;2395,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM SGTE;DD - PAQ. CTA. MTM SGTE;Pesos;2050000;1000;12;0;12;75;45,00;Personas humanas Responsables Inscriptos;8,40;249,85;Fija;347,94;2070,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM CGTE;DD - PAQ. CTA. MTM CGTE;Pesos;2050000;1000;36;0;12;75;45,00;Personas humanas Responsables Inscriptos;8,40;151,82;Fija;203,06;1605,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO SGTE;DD - PAQ.CTA MTM ORO SGTE;Pesos;20500000;45000;36;22000;12;75;45,00;Clientes con cuenta en la entidad;8,40;118,49;Fija;155,86;1380,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  CGTE;DD-PAQ.CTA MTM PROM CGTE;Pesos;20500000;45000;36;35000;12;75;45,00;Clientes con cuenta en la entidad;8,40;82,90;Fija;106,84;1121,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  SGTE;DD-PAQ.CTA MTM PROM SGTE;Pesos;15400000;45000;12;35000;12;75;45,00;Clientes que acrediten sueldos en la entidad;8,40;156,33;Fija;209,54;1747,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM CGTE;DD - PAQ. CTA. MTM CGTE;Pesos;2050000;1000;36;0;12;75;45,00;Clientes que acrediten sueldos en la entidad;8,40;151,82;Fija;203,06;1605,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO CGTE;DD - PAQ.CTA MTM ORO CGTE;Pesos;20500000;45000;36;22000;12;75;45,00;Clientes que acrediten sueldos en la entidad;8,40;95,15;Fija;123,54;1213,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO CGTE;DD - PAQ.CTA MTM ORO CGTE;Pesos;20500000;45000;12;22000;12;75;45,00;Clientes con cuenta en la entidad;8,40;144,37;Fija;192,40;1702,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO SGTE;DD - PAQ.CTA MTM ORO SGTE;Pesos;15400000;45000;12;22000;12;75;45,00;Clientes que acrediten sueldos en la entidad;8,40;173,02;Fija;233,68;1807,00;Provincia de Mendoza;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO SGTE;DD - PAQ.CTA MTM ORO SGTE;Pesos;20500000;45000;36;22000;12;75;45,00;Empleados públicos;8,40;118,49;Fija;155,86;1380,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  SGTE;DD-PAQ.CTA MTM PROM SGTE;Pesos;15400000;45000;36;35000;12;75;45,00;Personas humanas Responsables Inscriptos;8,40;104,89;Fija;136,95;1284,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  CGTE;DD-PAQ.CTA MTM PROM CGTE;Pesos;20500000;45000;12;35000;12;75;45,00;Personas humanas Responsables Inscriptos;8,40;129,29;Fija;171,02;1644,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO SGTE;DD - PAQ.CTA MTM ORO SGTE;Pesos;15400000;45000;12;22000;12;75;45,00;Personas humanas en relación de dependencia;8,40;173,02;Fija;233,68;1807,00;Provincia de Mendoza;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO CGTE;DD - PAQ.CTA MTM ORO CGTE;Pesos;20500000;45000;36;22000;12;75;45,00;Empleados públicos;8,40;95,15;Fija;123,54;1213,00;Provincia de Mendoza;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;PV - INICIAL SGTE;PV - INICIAL SGTE;Pesos;515000;1000;18;0;12;75;45,00;Personas humanas Monotributistas;8,40;381,79;Fija;553,97;2336,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO CGTE;DD - PAQ.CTA MTM ORO CGTE;Pesos;20500000;45000;12;22000;12;75;45,00;Empleados públicos;8,40;144,37;Fija;192,40;1702,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;PV - PRESTAMO EXPRESS;PV - PRESTAMO EXPRESS;Pesos;205000;1000;12;0;12;75;45,00;Personas humanas Monotributistas;8,40;381,79;Fija;553,97;2395,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO SGTE;DD - PAQ.CTA MTM ORO SGTE;Pesos;20500000;45000;36;22000;12;75;45,00;Personas humanas en relación de dependencia;8,40;118,49;Fija;155,86;1380,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM SGTE;DD - PAQ. CTA. MTM SGTE;Pesos;2050000;1000;12;0;12;75;45,00;Clientes con cuenta en la entidad;8,40;249,85;Fija;347,94;2070,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;PV - INICIAL SGTE;PV - INICIAL SGTE;Pesos;515000;1000;18;0;12;75;45,00;Personas humanas en relación de dependencia;8,40;381,79;Fija;553,97;2336,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO CGTE;DD - PAQ.CTA MTM ORO CGTE;Pesos;20500000;45000;36;22000;12;75;45,00;Personas humanas Monotributistas;8,40;95,15;Fija;123,54;1213,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;PV - PRESTAMO EXPRESS;PV - PRESTAMO EXPRESS;Pesos;205000;1000;12;0;12;75;45,00;Personas humanas Monotributistas;8,40;381,79;Fija;553,97;2395,00;Provincia de Mendoza;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO CGTE;DD - PAQ.CTA MTM ORO CGTE;Pesos;20500000;45000;12;22000;12;75;45,00;Personas humanas en relación de dependencia;8,40;144,37;Fija;192,40;1702,00;Provincia de Mendoza;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM CGTE;DD - PAQ. CTA. MTM CGTE;Pesos;2050000;1000;36;0;12;75;45,00;Personas humanas en relación de dependencia;8,40;151,82;Fija;203,06;1605,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM CGTE;DD - PAQ. CTA. MTM CGTE;Pesos;2050000;1000;12;0;12;75;45,00;Personas humanas Responsables Inscriptos;8,40;213,84;Fija;293,79;1950,00;Provincia de Mendoza;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  CGTE;DD-PAQ.CTA MTM PROM CGTE;Pesos;20500000;45000;12;35000;12;75;45,00;Personas humanas en relación de dependencia;8,40;129,29;Fija;171,02;1644,00;Provincia de Mendoza;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  CGTE;DD-PAQ.CTA MTM PROM CGTE;Pesos;20500000;45000;36;35000;12;75;45,00;Personas humanas en relación de dependencia;8,40;82,90;Fija;106,84;1121,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM SGTE;DD - PAQ. CTA. MTM SGTE;Pesos;2050000;1000;12;0;12;75;45,00;Empleados públicos;8,40;249,85;Fija;347,94;2070,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO SGTE;DD - PAQ.CTA MTM ORO SGTE;Pesos;15400000;45000;12;22000;12;75;45,00;Clientes que acrediten sueldos en la entidad;8,40;173,02;Fija;233,68;1807,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  SGTE;DD-PAQ.CTA MTM PROM SGTE;Pesos;15400000;45000;36;35000;12;75;45,00;Clientes con cuenta en la entidad;8,40;104,89;Fija;136,95;1284,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO SGTE;DD - PAQ.CTA MTM ORO SGTE;Pesos;20500000;45000;36;22000;12;75;45,00;Personas humanas Responsables Inscriptos;8,40;118,49;Fija;155,86;1380,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM SGTE;DD - PAQ. CTA. MTM SGTE;Pesos;2050000;1000;36;0;12;75;45,00;Personas humanas Responsables Inscriptos;8,40;181,27;Fija;245,71;1790,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO SGTE;DD - PAQ.CTA MTM ORO SGTE;Pesos;15400000;45000;12;22000;12;75;45,00;Empleados públicos;8,40;173,02;Fija;233,68;1807,00;Provincia de Mendoza;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  SGTE;DD-PAQ.CTA MTM PROM SGTE;Pesos;15400000;45000;36;35000;12;75;45,00;Empleados públicos;8,40;104,89;Fija;136,95;1284,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  SGTE;DD-PAQ.CTA MTM PROM SGTE;Pesos;15400000;45000;36;35000;12;75;45,00;Clientes que acrediten sueldos en la entidad;8,40;104,89;Fija;136,95;1284,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO CGTE;DD - PAQ.CTA MTM ORO CGTE;Pesos;20500000;45000;12;22000;12;75;45,00;Personas humanas Monotributistas;8,40;144,37;Fija;192,40;1702,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO CGTE;DD - PAQ.CTA MTM ORO CGTE;Pesos;20500000;45000;12;22000;12;75;45,00;Personas humanas Responsables Inscriptos;8,40;144,37;Fija;192,40;1702,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM SGTE;DD - PAQ. CTA. MTM SGTE;Pesos;2050000;1000;36;0;12;75;45,00;Empleados públicos;8,40;181,27;Fija;245,71;1790,00;Provincia de Mendoza;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM SGTE;DD - PAQ. CTA. MTM SGTE;Pesos;2050000;1000;12;0;12;75;45,00;Personas humanas en relación de dependencia;8,40;249,85;Fija;347,94;2070,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO SGTE;DD - PAQ.CTA MTM ORO SGTE;Pesos;15400000;45000;12;22000;12;75;45,00;Empleados públicos;8,40;173,02;Fija;233,68;1807,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM PROMOCIONAL  SGTE;DD-PAQ.CTA MTM PROM SGTE;Pesos;15400000;45000;36;35000;12;75;45,00;Personas humanas Monotributistas;8,40;104,89;Fija;136,95;1284,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO CGTE;DD - PAQ.CTA MTM ORO CGTE;Pesos;20500000;45000;12;22000;12;75;45,00;Clientes que acrediten sueldos en la entidad;8,40;144,37;Fija;192,40;1702,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM SGTE;DD - PAQ. CTA. MTM SGTE;Pesos;2050000;1000;36;0;12;75;45,00;Personas humanas Monotributistas;8,40;181,27;Fija;245,71;1790,00;Provincia del Neuquén;
45056;MONTEMAR COMPAÑIA FINANCIERA S.A.;2026-01-28;DD - PAQ. CUENTA MTM ORO SGTE;DD - PAQ.CTA MTM ORO SGTE;Pesos;15400000;45000;12;22000;12;75;45,00;Personas humanas en relación de dependencia;8,40;173,02;Fija;233,68;1807,00;Provincia del Neuquén;
