codigo_bcra,nombre_banco,tipo_entidad,fuente,variable,periodo,valor,scraping_fecha
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,capital: C1 - Apalancamiento (en veces),Dic-2023,4.88,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,capital: C1 - Apalancamiento (en veces),Dic-2024,4.2,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,capital: C1 - Apalancamiento (en veces),Nov-2025,4.09,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,capital: C1 - Apalancamiento (en veces),Dic-2025,4.17,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,capital: C1 - Apalancamiento (en veces),Ene-2026,3.99,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,capital: C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),Dic-2023,-1.49,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,capital: C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),Dic-2024,-0.59,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,capital: C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),Nov-2025,14.67,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,capital: C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),Dic-2025,15.64,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,capital: C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),Ene-2026,13.98,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,capital: C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),Dic-2023,-4.12,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,capital: C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),Dic-2024,-4.22,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,capital: C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),Nov-2025,1.11,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,capital: C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),Dic-2025,3.72,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,capital: C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),Ene-2026,4.08,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A9 - Total Cartera Irregular / Total Financiaciones (%),Dic-2023,1.6,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A9 - Total Cartera Irregular / Total Financiaciones (%),Dic-2024,1.87,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A9 - Total Cartera Irregular / Total Financiaciones (%),Nov-2025,6.32,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A9 - Total Cartera Irregular / Total Financiaciones (%),Dic-2025,7.33,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A9 - Total Cartera Irregular / Total Financiaciones (%),Ene-2026,8.42,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A11 - Cartera Irregular Sector Privado (%),Dic-2023,1.6,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A11 - Cartera Irregular Sector Privado (%),Dic-2024,1.88,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A11 - Cartera Irregular Sector Privado (%),Nov-2025,6.38,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A11 - Cartera Irregular Sector Privado (%),Dic-2025,7.41,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A11 - Cartera Irregular Sector Privado (%),Ene-2026,8.5,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A12 - Participación Cartera Comercial Sector Privado (%),Dic-2023,55.78,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A12 - Participación Cartera Comercial Sector Privado (%),Dic-2024,55.32,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A12 - Participación Cartera Comercial Sector Privado (%),Nov-2025,49.48,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A12 - Participación Cartera Comercial Sector Privado (%),Dic-2025,49.6,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A12 - Participación Cartera Comercial Sector Privado (%),Ene-2026,50.48,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A13 - Participación Cartera Consumo Sector Privado (%),Dic-2023,44.22,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A13 - Participación Cartera Consumo Sector Privado (%),Dic-2024,44.74,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A13 - Participación Cartera Consumo Sector Privado (%),Nov-2025,50.55,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A13 - Participación Cartera Consumo Sector Privado (%),Dic-2025,50.4,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A13 - Participación Cartera Consumo Sector Privado (%),Ene-2026,49.52,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A14 - Previsiones sobre Cartera Irregular Total (%),Dic-2023,220.85,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A14 - Previsiones sobre Cartera Irregular Total (%),Dic-2024,186.97,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A14 - Previsiones sobre Cartera Irregular Total (%),Nov-2025,94.42,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A14 - Previsiones sobre Cartera Irregular Total (%),Dic-2025,83.93,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A14 - Previsiones sobre Cartera Irregular Total (%),Ene-2026,84.25,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A16 - Cartera Irregular Consumo Sector Privado (%),Dic-2023,2.72,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A16 - Cartera Irregular Consumo Sector Privado (%),Dic-2024,3.17,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A16 - Cartera Irregular Consumo Sector Privado (%),Nov-2025,10.27,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A16 - Cartera Irregular Consumo Sector Privado (%),Dic-2025,11.83,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A16 - Cartera Irregular Consumo Sector Privado (%),Ene-2026,13.8,2026-04-19
00072,BANCO SANTANDER ARGENTINA S.A.,extranjero,indicadores_economicos,activos: A17 - Cartera Irregular Comercial Sector Privado (%),Dic-2023,0.72,2026-04-19
