codigo_bcra,nombre_banco,tipo_entidad,fuente,variable,periodo,valor,scraping_fecha
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,capital: C1 - Apalancamiento (en veces),Dic-2023,5.32,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,capital: C1 - Apalancamiento (en veces),Dic-2024,4.4,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,capital: C1 - Apalancamiento (en veces),Nov-2025,4.42,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,capital: C1 - Apalancamiento (en veces),Dic-2025,4.35,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,capital: C1 - Apalancamiento (en veces),Ene-2026,4.28,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,capital: C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),Dic-2023,0.81,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,capital: C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),Dic-2024,1.65,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,capital: C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),Nov-2025,9.07,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,capital: C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),Dic-2025,8.63,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,capital: C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),Ene-2026,7.53,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,capital: C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),Dic-2023,-0.02,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,capital: C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),Dic-2024,0.32,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,capital: C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),Nov-2025,0.54,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,capital: C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),Dic-2025,0.57,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,capital: C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),Ene-2026,0.56,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,activos: A9 - Total Cartera Irregular / Total Financiaciones (%),Dic-2023,3.28,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,activos: A9 - Total Cartera Irregular / Total Financiaciones (%),Dic-2024,2.56,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,activos: A9 - Total Cartera Irregular / Total Financiaciones (%),Nov-2025,6.09,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,activos: A9 - Total Cartera Irregular / Total Financiaciones (%),Dic-2025,7.16,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,activos: A9 - Total Cartera Irregular / Total Financiaciones (%),Ene-2026,7.64,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,activos: A11 - Cartera Irregular Sector Privado (%),Dic-2023,3.3,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,activos: A11 - Cartera Irregular Sector Privado (%),Dic-2024,2.57,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,activos: A11 - Cartera Irregular Sector Privado (%),Nov-2025,6.47,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,activos: A11 - Cartera Irregular Sector Privado (%),Dic-2025,7.52,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,activos: A11 - Cartera Irregular Sector Privado (%),Ene-2026,8.13,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,activos: A12 - Participación Cartera Comercial Sector Privado (%),Dic-2023,34.43,2026-04-19
00044,BANCO HIPOTECARIO S.A.,publico,indicadores_economicos,activos: A12 - Participación Cartera Comercial Sector Privado (%),Dic-2024,38.49,2026-04-19
