codigo_entidad,nombre_banco,tipo_entidad,A C T I V O,ACTIVOS INTANGIBLES,ADELANTOS,AJUSTES NIIF,BIENES DIVERSOS,CAJA DE AHORROS,"CAPITAL, APORTES, RESERVAS Y ORI ACUMULADO",CARGO POR INCOBRABILIDAD,COBROS NO APLICADOS,CONTINGENTES ACREEDORAS,CONTINGENTES DEUDORAS,CREDITO POR ARRENDAMIENTO FINANCIERO,CRÉDITOS DIVERSOS,CRÉDITOS IRRECUPERABLES EN PARTIDAS FUERA DEL BALANCE,CRÉDITOS RECUPERADOS Y PREVISIONES DESAFECTADAS,CUENTAS CORRIENTES,DE ACTIVIDAD FIDUCIARIA DEUDORAS,DE CONTROL ACREEDORAS,DE CONTROL DEUDORAS,DE DERIVADOS ACREEDORAS,DE DERIVADOS DEUDORAS,DEPÓSITOS,DETERIORO DE VALOR,"DOC A SOLA FIRMA, DESCONT. Y COMPRADOS",EFECTIVO Y DEPOSITO EN BANCOS,EGRESOS FINANCIEROS,EGRESOS POR SERVICIOS,EN ENTIDADES FINANCIERAS,FILIALES EN EL EXTERIOR,GASTOS DE ADMINISTRACIÓN,HIPOTECARIOS,IMPUESTO A LAS GANANCIAS,INGRESOS FINANCIEROS,INGRESOS POR SERVICIOS,INTERESES DOCUMENTADOS,INTERESES Y DIF. COTIZ. DEVENG. A COBRAR,INTERESES Y DIF. COTIZ. DEVENG. A PAGAR,OBLIGACIONES DIVERSAS,OBLIGACIONES SUBORDINADAS,OTRAS,OTRAS OBLIG.POR INTERMED. FINANC.,OTRO RESULTADO INTEGRAL,OTROS,OTROS CRED.POR INTERM.FINAN.,OTROS EGRESOS FINANCIEROS,OTROS INGRESOS FINANCIEROS,P A S I V O,P A T R I M O N I O N E T O,PART. EN OTRAS SOCIEDADES,PARTIDAS PEND. DE IMPUTACIÓN,PARTIDAS PENDIENTES DE IMPUTACIÓN,PERSONALES,PLAZO FIJO E INVERSIONES A PLAZO,POR INTERESES,PRENDARIOS,PREVISIONES,"PROPIEDAD, PLANTAS Y EQUIPO",PROVISIONES,PRÉSTAMOS,R D O S. I N T E G R A L E S A C U M. D E L P E R I O D O,RESULTADO MONETARIO,RESULTADOS NO ASIGNADOS,SECTOR FINANCIERO,SECTOR PRIVADO NO FINANCIERO Y RESIDENTES EN EL EXT.,SECTOR PÚBLICO NO FINANCIERO,TÍTULOS PÚBLICOS Y PRIVADOS,C.CAC.Sit.1: En situación normal (%),C.CAC.Sit.2: Riesgo bajo (%),C.CAC.Sit.3: Riesgo medio (%),C.CAC.Sit.4: Riesgo alto (%),C.CAC.Sit.5: Irrecuperable (%),C.CAC.TOTAL GARANTIZADO - Garantías Preferidas A y B (%),C.COM.Sit.1: En situación normal (%),C.COM.Sit.2: Con seguimiento especial (%),C.COM.Sit.3: Con problemas (%),C.COM.Sit.4: Con alto riesgo de insolvencia (%),C.COM.Sit.5: Irrecuperable (%),C.COM.TOTAL GARANTIZADO - Garantías Preferidas A y B (%),C.CON.Sit.1: En situación normal (%),C.CON.Sit.2: Riesgo bajo (%),C.CON.Sit.3: Riesgo medio (%),C.CON.Sit.4: Riesgo alto (%),C.CON.Sit.5: Irrecuperable (%),C.CON.TOTAL GARANTIZADO - Garantías Preferidas A y B (%),CARTERA COMERCIAL ($),CARTERA COMERCIAL ASIMILABLE A CONSUMO ($),CARTERA DE CONSUMO O VIVIENDA ($),Previsiones por riesgo de incobrabilidad constituídas,TF.Sit.1: En situación normal (%),TF.Sit.2: Con seguimiento especial/Riesgo bajo (%),TF.Sit.3: Con problemas/Riesgo medio (%),TF.Sit.4: Con alto riesgo de insolvencia/Riesgo alto (%),TF.Sit.5: Irrecuperable (%),TOTAL DE FINANCIACIONES Y GARANTIAS OTORGADAS ($),TOTAL GARANTIZADO - Garantías Preferidas A y B (%),Total cartera sobre financiaciones (%),Cantidad de Cuentas,Cantidad de Empresas,Cantidad de cajas de ahorro de ayuda social,Cantidad de cuentas corrientes,Cantidad de cuentas de ahorro,Cantidad de cuentas previsionales,Cantidad de operaciones a plazo fijo Empresas,Cantidad de operaciones a plazo fijo Individuos,Cantidad de operaciones por otros préstamos,Cantidad de operaciones por préstamos hipotecarios,Cantidad de operaciones por préstamos prendarios,Cantidad de tarjetas de crédito (plásticos),Cantidad de tarjetas de débito,Cantidad de titulares por tarjetas de crédito,Dotación de personal,hipoteca_uva,hipoteca_tea_max,hipoteca_monto_max,hipoteca_plazo_max,hipoteca_n_productos,ofrece_hipoteca,personal_tea_max,personal_monto_max,personal_plazo_max,personal_n_productos,ofrece_personal,prendario_tea_max,prendario_monto_max,prendario_n_productos,ofrece_prendario,pfijo_uva,pfijo_tea_min,pfijo_monto_min,pfijo_n_productos,ofrece_pfijo,paquete_tiene_premium,paquete_comision_min,paquete_comision_max,paquete_n_productos,ofrece_paquete,tarjeta_tea_financiacion,tarjeta_tea_adelanto,tarjeta_tiene_premium,tarjeta_comision_admin_min,tarjeta_n_productos,ofrece_tarjeta,caja_apertura_simplificada,n_productos_ofrecidos
00007,BANCO DE GALICIA Y BUENOS AIRES S.A,privado_nacional,8673081708.0,102859938.0,174121302.0,-75884006.0,12290816.0,3492318614.0,1371195708.0,-121657270.0,-952934.0,5999368130.0,1016638569.0,6316418.0,518451900.0,18230112.0,32318484.0,645401190.0,18384835.0,79012633.0,18525122840.0,653823595.0,3200604751.0,5544973263.0,,711797727.0,1923492910.0,-3112191382.0,-170848004.0,,,-525813743.0,37915833.0,-156000000.0,5016497371.0,360362782.0,-13447131.0,237170728.0,143292512.0,395981000.0,207787189.0,5692106.0,843473509.0,14084.0,922876498.0,1346898381.0,-440056532.0,995219658.0,7019112820.0,1653968888.0,5692106.0,2861077.0,1966154.0,182589596.0,1174951678.0,4021277713.0,45092352.0,-81613012.0,320753921.0,24931705.0,2167426307.0,282787264.0,-1225233705.0,282773180.0,27298507.0,2221279965.0,460847.0,2266037934.0,96.78,0.91,0.6,1.07,0.64,10.87,99.64,0.22,0.0,0.05,0.09,6.6,94.14,1.7,1.6,1.86,0.69,9.68,993461.97,686501.13,1134529.54,84225.25,96.73,0.99,0.79,1.03,0.46,2814492.63,8.88,35.3,1272258.0,217395.0,409692.0,456064.0,6423086.0,621674.0,11551.0,635210.0,4174488.0,4906.0,3284.0,4223804.0,5803983.0,2931929.0,5765.0,1,12.0,999999999.0,240.0,1.0,1,30.0,24800000.0,72.0,2.0,1,34.0,57000000.0,18.0,1,1,26.83,100.0,12.0,1,1,27000.0,70000.0,56.0,1,133.44,133.44,1,18500.0,12.0,1,1,6
00011,BANCO DE LA NACION ARGENTINA,publico,21240048256.0,,44954475.0,-4642463.0,25242472.0,3652191764.0,3823864872.0,-293324838.0,-2155112.0,1298387298.0,6553771330.0,,736743248.0,220155124.0,91860129.0,557463906.0,1167981380.0,30160619.0,16607086649.0,,186124741.0,13714214413.0,,746241124.0,2186066456.0,-8476132463.0,-143910957.0,134166280.0,610046183.0,-764887245.0,273452759.0,-963009325.0,14768528907.0,215255116.0,-56131252.0,1224825223.0,289527934.0,1352581138.0,,368581714.0,563373056.0,229499735.0,1317773140.0,4533184832.0,-623031677.0,7636811534.0,15679168922.0,5560879334.0,502747994.0,,,215384329.0,4511289118.0,7131717373.0,130197247.0,-607900208.0,571109939.0,49000315.0,3688884484.0,1786910387.0,-2879116992.0,1737014462.0,16725852.0,3889899470.0,406885222.0,8386022648.0,97.91,1.3,0.23,0.3,0.25,39.04,73.82,2.35,0.28,0.88,22.67,14.28,94.62,2.18,1.05,1.2,0.94,65.48,1860735.82,981308.6,1697556.48,656585.3,86.81,2.06,0.56,0.88,9.7,4539600.89,38.78,40.99,1176405.0,29126.0,6998742.0,295730.0,19198791.0,4641614.0,52487.0,1371493.0,3841487.0,74005.0,18901.0,4461272.0,21162364.0,2881751.0,17515.0,1,6.17,521192700.0,360.0,24.0,1,45.37,100000000.0,72.0,5.0,1,,,,0,1,25.66,100.0,10.0,1,1,9427.0,75038.0,12.0,1,103.18,103.18,0,8801.54,1.0,1,1,5
00014,BANCO DE LA PROVINCIA DE BUENOS AIR,publico,8682679817.0,11409390.0,114289153.0,-47983298.0,12968626.0,3356231329.0,1254192793.0,-93986112.0,-56106.0,2891205911.0,895056527.0,711543.0,82470468.0,136759834.0,24342952.0,431871104.0,305404769.0,12004932.0,5062566012.0,,989470026.0,6830552643.0,-15785.0,621618047.0,1041618738.0,-3903724661.0,-391406168.0,,36683250.0,-745783606.0,48095075.0,,5624732612.0,274633966.0,-13766060.0,387191180.0,167356585.0,150133280.0,,128963738.0,267596699.0,10095180.0,660245069.0,3393134040.0,-163871370.0,3633170088.0,7315036396.0,1367643421.0,128947953.0,3633989.0,2828327.0,264148730.0,1535805624.0,1991562524.0,61813768.0,-87081830.0,580576184.0,63925447.0,2039109787.0,226967419.0,-555896568.0,113450628.0,5623434.0,2095595558.0,30596059.0,1351415849.0,98.28,1.07,0.22,0.25,0.18,14.56,95.41,1.75,2.5,0.35,,7.41,96.2,1.3,1.01,0.83,0.67,3.53,433185.12,714851.41,1123597.78,88555.19,96.7,1.31,1.04,0.55,0.39,2271634.3,7.74,19.07,1323850.0,23181.0,1554135.0,986277.0,11209171.0,1239559.0,44223.0,565574.0,4103903.0,27773.0,6469.0,4939833.0,8017605.0,2183888.0,10407.0,0,37.22,345689450.0,240.0,60.0,1,77.88,50000000.0,60.0,22.0,1,,,,0,1,24.48,100.0,20.0,1,1,24700.0,85000.0,72.0,1,40.42,40.42,1,0.0,11.0,1,1,5
00015,INDUSTRIAL AND COMMERCIAL BANK OF C,extranjero,3965612887.0,46559021.0,40005412.0,-19650636.0,188833.0,1299554073.0,643431215.0,-36279206.0,-24645.0,1334600911.0,319610137.0,5706753.0,151047903.0,8905125.0,16627209.0,575476221.0,,16536592.0,10840387836.0,334095713.0,853068545.0,2394056035.0,,36070892.0,519848877.0,-1240862341.0,-56722200.0,,,-299141626.0,1766731.0,-54815598.0,2059557187.0,88068358.0,-6080090.0,38904319.0,74192432.0,186571840.0,,2264667.0,625144119.0,74096746.0,656264672.0,1682923287.0,-147525782.0,459161436.0,3222945238.0,742667649.0,2264667.0,288237.0,2406148.0,18241363.0,369015450.0,1600395751.0,123556846.0,-18268066.0,214636496.0,14767096.0,873027387.0,172954952.0,-431517176.0,99236434.0,2198758.0,889054864.0,41831.0,469121426.0,98.22,0.71,0.29,0.53,0.25,25.1,99.84,0.07,0.09,0.0,0.0,11.76,96.99,1.19,0.85,0.84,0.14,4.55,651790.19,110164.9,373149.41,19502.04,98.74,0.5,0.36,0.33,0.07,1135104.5,10.69,57.42,213206.0,14280.0,74355.0,148955.0,1461758.0,3589.0,1860.0,135110.0,951332.0,74.0,15953.0,1503826.0,1396205.0,1108815.0,3463.0,1,9.27,300000000.0,240.0,2.0,1,147.19,145000000.0,96.0,8.0,1,67.97,130000000.0,7.0,1,1,23.89,1000.0,6.0,1,1,26000.0,76000.0,3.0,1,120.78,120.78,0,0.0,8.0,1,1,6
00016,CITIBANK N.A.,extranjero,2654884630.0,,59246081.0,,65485.0,481214804.0,469939901.0,-17632318.0,15.0,191355701.0,152433614.0,836148.0,95097000.0,385134.0,172488.0,680695178.0,,24255011.0,2490809427.0,76627714.0,35101860.0,1197003685.0,,61459165.0,678827186.0,-157425894.0,-14656597.0,,,-135991690.0,14069652.0,-192997246.0,1706124303.0,74610710.0,-7101450.0,60592454.0,3458274.0,209357051.0,,,170880280.0,-17029.0,199817716.0,934773167.0,-100721248.0,469082546.0,1586811036.0,1068073594.0,,28436.0,27091.0,,30779615.0,1237041757.0,2420863.0,-16355174.0,29477532.0,9542929.0,376259921.0,186667420.0,-1072803217.0,598133693.0,2110599.0,390504496.0,,539519755.0,,,,,,,99.9,0.1,,0.0,,9.52,,,,,,,439961.63,,,19181.91,99.9,0.1,,0.0,,439961.63,9.52,100.0,,,,2131.0,751.0,,96.0,,1148.0,1.0,1.0,,,,1083.0,0,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,,,0,,,0,0,0
00017,BANCO BBVA ARGENTINA S.A.,extranjero,6059940594.0,32918773.0,165656167.0,-10934162.0,62022584.0,1720565230.0,1241627611.0,-74814181.0,,1945086308.0,611863956.0,10368951.0,167842431.0,59256477.0,6770177.0,898630401.0,,72567442.0,14583767949.0,112648668.0,296652695.0,3644186549.0,,459063426.0,1141811692.0,-1824186854.0,-144702893.0,21371617.0,,-516873640.0,6408694.0,-129068205.0,3436713939.0,250344114.0,-48631663.0,172384006.0,95624840.0,504059947.0,,20831040.0,478634657.0,196946954.0,946533449.0,1468610809.0,-349579224.0,835120610.0,4653771085.0,1406169509.0,42202657.0,773456.0,6295894.0,141594821.0,856208666.0,2601593329.0,25386157.0,-47395986.0,298058346.0,20594038.0,1851259393.0,361488852.0,-848268946.0,164541898.0,41049276.0,1857460895.0,145208.0,984071502.0,98.72,0.26,0.37,0.35,0.31,2.92,99.63,0.03,0.32,0.0,0.0,1.03,96.33,1.36,1.27,0.95,0.09,7.1,863065.1,249403.7,940853.39,49824.51,98.01,0.67,0.76,0.48,0.08,2053322.18,4.04,42.03,775418.0,48115.0,384288.0,2179022.0,6073203.0,221880.0,6392.0,453380.0,3278760.0,4383.0,17653.0,5337069.0,4010963.0,4951122.0,5918.0,1,7.76,999999999.0,360.0,13.0,1,249.85,70000000.0,72.0,7.0,1,28.0,55000000.0,4.0,1,1,22.54,1000.0,12.0,1,1,22900.0,78900.0,49.0,1,106.41,106.41,1,28900.0,8.0,1,1,6
00020,BANCO DE LA PROVINCIA DE CORDOBA S.,publico,1850325878.0,7196132.0,7401407.0,-14748859.0,3374172.0,260321893.0,188965693.0,-26149675.0,,361578034.0,243404673.0,,63192357.0,3206363.0,7737466.0,120071224.0,,405863881.0,916658594.0,53132506.0,277894494.0,1395099291.0,,132833439.0,251366358.0,-1185794412.0,-27848369.0,,,-246335736.0,82060899.0,-45678462.0,1609864011.0,60234889.0,-16499552.0,131845391.0,41464967.0,100743000.0,,2262114.0,89303283.0,,195913386.0,522497864.0,-78985332.0,443740000.0,1600352454.0,249973424.0,2262114.0,924142.0,3917109.0,51975796.0,500926100.0,1166124011.0,8666303.0,-19866406.0,84176995.0,11289771.0,564236457.0,61007671.0,-98191820.0,61007731.0,582.0,579448210.0,4654653.0,351099287.0,99.05,0.16,0.16,0.61,0.02,12.07,98.62,0.0,0.0,1.38,0.0,7.89,97.65,0.96,0.56,0.61,0.22,36.11,170617.86,100764.96,377466.34,20160.59,98.12,0.58,0.35,0.81,0.13,648849.16,24.96,26.3,206873.0,2347.0,567777.0,465113.0,2646094.0,459233.0,4520.0,227909.0,1106265.0,8834.0,1148.0,971753.0,529027.0,626088.0,2088.0,1,8.9,468092500.0,240.0,12.0,1,114.99,138720000.0,72.0,7.0,1,,,,0,1,25.37,100.0,17.0,1,0,14000.0,14000.0,3.0,1,369.88,369.88,1,4345.99,18.0,1,1,5
00027,BANCO SUPERVIELLE S.A.,privado_nacional,1978294088.0,34555750.0,40224261.0,-820155.0,54388440.0,973987572.0,229495009.0,-31147833.0,,500066213.0,266455153.0,19991780.0,53346329.0,9090153.0,5505502.0,138611262.0,647.0,13517781.0,1224238258.0,18026330.0,139020611.0,1549155279.0,,181776456.0,223604982.0,-876072308.0,-36008676.0,,,-249150310.0,2701332.0,-24721699.0,1277320044.0,77818094.0,-14799708.0,79860662.0,20264610.0,58653854.0,,14425.0,85594354.0,4150303.0,120096924.0,807653032.0,-60876079.0,144493487.0,1708646686.0,269647402.0,14425.0,73082.0,369522.0,48502319.0,299228995.0,1132826557.0,14252110.0,-16870078.0,49371582.0,14873677.0,461007883.0,44351157.0,-75896201.0,40152393.0,4013645.0,471794201.0,2070115.0,274286803.0,97.17,0.74,0.81,0.76,0.53,15.4,97.15,2.79,0.0,0.0,0.06,11.81,95.28,1.87,1.4,0.84,0.62,8.96,353905.47,86003.44,188272.63,17887.96,96.59,2.23,0.53,0.36,0.29,628181.54,11.45,56.34,169631.0,12702.0,602775.0,39764.0,2052265.0,906488.0,2389.0,87927.0,1812572.0,1371.0,11132.0,898838.0,2167074.0,664213.0,3230.0,1,18.39,99999999.0,180.0,54.0,1,176.31,75000000.0,72.0,48.0,1,49.65,85250000.0,16.0,1,1,23.6,100.0,20.0,1,1,0.0,83400.0,52.0,1,142.75,142.75,1,10800.0,11.0,1,1,6
00029,BANCO DE LA CIUDAD DE BUENOS AIRES,publico,3630280986.0,10961559.0,4646908.0,-1130860.0,5494972.0,467304995.0,414866439.0,-24602101.0,-188607.0,817287769.0,622167999.0,1601770.0,84369571.0,21798571.0,8488494.0,53666932.0,34139496.0,1288385.0,946554847.0,,266528373.0,2602162979.0,,227699325.0,834208859.0,-1237912702.0,-39777905.0,,,-173915571.0,40284876.0,-164822231.0,2271166870.0,41131605.0,-990309.0,175635309.0,22232667.0,199447492.0,,299074.0,127964120.0,-5774048.0,163751164.0,989592476.0,-272436484.0,611575681.0,2936029390.0,694251596.0,299074.0,,,50496943.0,466357066.0,1659591189.0,7164185.0,-26063173.0,128287793.0,6454799.0,671831511.0,159301523.0,-518979574.0,279385157.0,8.0,667368934.0,30525742.0,903633401.0,97.78,0.21,0.76,0.99,0.25,47.33,92.99,1.53,0.42,1.54,3.52,9.56,95.15,1.52,1.13,1.3,0.91,10.03,283501.89,89105.98,370451.29,26696.09,94.64,1.36,0.81,1.35,1.83,743059.15,14.32,38.15,278016.0,3872.0,104930.0,48970.0,1221718.0,176871.0,2854.0,178504.0,158435.0,22500.0,431.0,907998.0,1513478.0,743175.0,2613.0,1,10.36,300000000.0,240.0,68.0,1,127.33,40000000.0,72.0,12.0,1,63.21,28000000.0,2.0,1,1,20.75,100.0,24.0,1,0,26734.0,26734.0,42.0,1,125.3,125.3,0,6458.0,6.0,1,1,6
00034,BANCO PATAGONIA S.A.,privado_nacional,2760641847.0,2952653.0,177196575.0,-3552099.0,2175935.0,981013063.0,485482018.0,-6174529.0,,452946682.0,132190963.0,7152344.0,53433786.0,5334383.0,1825248.0,136526620.0,73395687.0,37515277.0,2663781875.0,13020062.0,259850325.0,1858803560.0,,168838986.0,398822209.0,-1311086548.0,-45303185.0,12277113.0,,-187542863.0,820518.0,-55829601.0,2033851816.0,81860853.0,-2801129.0,31546841.0,54292509.0,110961776.0,,15366278.0,217158674.0,24860429.0,205560847.0,1090614662.0,-130675071.0,192258736.0,2189929975.0,570711872.0,27643391.0,20680.0,140390.0,33720807.0,520906658.0,1841593080.0,,-5290598.0,100728800.0,2865575.0,649694905.0,110090283.0,-430013669.0,85229854.0,40831744.0,611331346.0,2822413.0,427402482.0,99.12,0.4,0.18,0.19,0.11,53.77,100.0,0.0,0.0,0.0,0.0,8.66,97.81,0.85,0.49,0.73,0.12,2.34,506868.6,16417.44,202655.23,5458.74,99.37,0.25,0.14,0.21,0.04,725941.26,7.92,69.82,288803.0,13245.0,50823.0,169944.0,2256765.0,238301.0,3422.0,148355.0,903600.0,601.0,,908258.0,2398623.0,619894.0,2909.0,1,13.24,140000000.0,360.0,3.0,1,129.55,30000000.0,60.0,2.0,1,,,,0,1,20.75,500.0,32.0,1,0,21250.0,21250.0,5.0,1,126.1,126.1,0,10436.25,1.0,1,1,5
