codigo_entidad,nombre_banco,tipo_entidad,A C T I V O,ACTIVOS INTANGIBLES,ADELANTOS,AJUSTES NIIF,BIENES DIVERSOS,CAJA DE AHORROS,"CAPITAL, APORTES, RESERVAS Y ORI ACUMULADO",CARGO POR INCOBRABILIDAD,COBROS NO APLICADOS,CONTINGENTES ACREEDORAS,CONTINGENTES DEUDORAS,CREDITO POR ARRENDAMIENTO FINANCIERO,CRÉDITOS DIVERSOS,CRÉDITOS IRRECUPERABLES EN PARTIDAS FUERA DEL BALANCE,CRÉDITOS RECUPERADOS Y PREVISIONES DESAFECTADAS,CUENTAS CORRIENTES,DE ACTIVIDAD FIDUCIARIA DEUDORAS,DE CONTROL ACREEDORAS,DE CONTROL DEUDORAS,DE DERIVADOS ACREEDORAS,DE DERIVADOS DEUDORAS,DEPÓSITOS,DETERIORO DE VALOR,"DOC A SOLA FIRMA, DESCONT. Y COMPRADOS",EFECTIVO Y DEPOSITO EN BANCOS,EGRESOS FINANCIEROS,EGRESOS POR SERVICIOS,EN ENTIDADES FINANCIERAS,FILIALES EN EL EXTERIOR,GASTOS DE ADMINISTRACIÓN,HIPOTECARIOS,IMPUESTO A LAS GANANCIAS,INGRESOS FINANCIEROS,INGRESOS POR SERVICIOS,INTERESES DOCUMENTADOS,INTERESES Y DIF. COTIZ. DEVENG. A COBRAR,INTERESES Y DIF. COTIZ. DEVENG. A PAGAR,OBLIGACIONES DIVERSAS,OBLIGACIONES SUBORDINADAS,OTRAS,OTRAS OBLIG.POR INTERMED. FINANC.,OTRO RESULTADO INTEGRAL,OTROS,OTROS CRED.POR INTERM.FINAN.,OTROS EGRESOS FINANCIEROS,OTROS INGRESOS FINANCIEROS,P A S I V O,P A T R I M O N I O N E T O,PART. EN OTRAS SOCIEDADES,PARTIDAS PEND. DE IMPUTACIÓN,PARTIDAS PENDIENTES DE IMPUTACIÓN,PERSONALES,PLAZO FIJO E INVERSIONES A PLAZO,POR INTERESES,PRENDARIOS,PREVISIONES,"PROPIEDAD, PLANTAS Y EQUIPO",PROVISIONES,PRÉSTAMOS,R D O S. I N T E G R A L E S A C U M. D E L P E R I O D O,RESULTADO MONETARIO,RESULTADOS NO ASIGNADOS,SECTOR FINANCIERO,SECTOR PRIVADO NO FINANCIERO Y RESIDENTES EN EL EXT.,SECTOR PÚBLICO NO FINANCIERO,TÍTULOS PÚBLICOS Y PRIVADOS,C.CAC.Sit.1: En situación normal (%),C.CAC.Sit.2: Riesgo bajo (%),C.CAC.Sit.3: Riesgo medio (%),C.CAC.Sit.4: Riesgo alto (%),C.CAC.Sit.5: Irrecuperable (%),C.CAC.TOTAL GARANTIZADO - Garantías Preferidas A y B (%),C.COM.Sit.1: En situación normal (%),C.COM.Sit.2: Con seguimiento especial (%),C.COM.Sit.3: Con problemas (%),C.COM.Sit.4: Con alto riesgo de insolvencia (%),C.COM.Sit.5: Irrecuperable (%),C.COM.TOTAL GARANTIZADO - Garantías Preferidas A y B (%),C.CON.Sit.1: En situación normal (%),C.CON.Sit.2: Riesgo bajo (%),C.CON.Sit.3: Riesgo medio (%),C.CON.Sit.4: Riesgo alto (%),C.CON.Sit.5: Irrecuperable (%),C.CON.TOTAL GARANTIZADO - Garantías Preferidas A y B (%),CARTERA COMERCIAL ($),CARTERA COMERCIAL ASIMILABLE A CONSUMO ($),CARTERA DE CONSUMO O VIVIENDA ($),Previsiones por riesgo de incobrabilidad constituídas,TF.Sit.1: En situación normal (%),TF.Sit.2: Con seguimiento especial/Riesgo bajo (%),TF.Sit.3: Con problemas/Riesgo medio (%),TF.Sit.4: Con alto riesgo de insolvencia/Riesgo alto (%),TF.Sit.5: Irrecuperable (%),TOTAL DE FINANCIACIONES Y GARANTIAS OTORGADAS ($),TOTAL GARANTIZADO - Garantías Preferidas A y B (%),Total cartera sobre financiaciones (%),Cantidad de Cuentas,Cantidad de Empresas,Cantidad de cajas de ahorro de ayuda social,Cantidad de cuentas corrientes,Cantidad de cuentas de ahorro,Cantidad de cuentas previsionales,Cantidad de operaciones a plazo fijo Empresas,Cantidad de operaciones a plazo fijo Individuos,Cantidad de operaciones por otros préstamos,Cantidad de operaciones por préstamos hipotecarios,Cantidad de operaciones por préstamos prendarios,Cantidad de tarjetas de crédito (plásticos),Cantidad de tarjetas de débito,Cantidad de titulares por tarjetas de crédito,Dotación de personal,hipoteca_uva,hipoteca_tea_max,hipoteca_monto_max,hipoteca_plazo_max,hipoteca_n_productos,ofrece_hipoteca,personal_tea_max,personal_monto_max,personal_plazo_max,personal_n_productos,ofrece_personal,prendario_tea_max,prendario_monto_max,prendario_n_productos,ofrece_prendario,pfijo_uva,pfijo_tea_min,pfijo_monto_min,pfijo_n_productos,ofrece_pfijo,paquete_tiene_premium,paquete_comision_min,paquete_comision_max,paquete_n_productos,ofrece_paquete,tarjeta_tea_financiacion,tarjeta_tea_adelanto,tarjeta_tiene_premium,tarjeta_comision_admin_min,tarjeta_n_productos,ofrece_tarjeta,caja_apertura_simplificada,n_productos_ofrecidos
00007,BANCO DE GALICIA Y BUENOS AIRES S.A,privado_nacional,21692306233.0,229096568.0,422033149.0,-132699699.0,44656757.0,8460653361.0,3079304456.0,-434112928.0,-128267.0,15577160021.0,2372436971.0,24816548.0,461614726.0,72728672.0,12842083.0,1399054430.0,22836175.0,251473900.0,38119368911.0,1134635222.0,944885902.0,14268420141.0,,3393899488.0,5284748505.0,-2939750149.0,-395722940.0,71567.0,,-1257024760.0,316899790.0,-541459699.0,7533475868.0,780989191.0,-23922226.0,481238316.0,211155319.0,359266147.0,266114122.0,949291543.0,2159532687.0,32859049.0,3247431254.0,1006845355.0,-691364398.0,1560035619.0,17286376034.0,4405930199.0,949363110.0,1475749.0,1176890.0,1028720014.0,3878747612.0,5973440249.0,259543523.0,-308260099.0,698228462.0,231866047.0,8832468790.0,1359484792.0,-1941525374.0,1326625743.0,146974298.0,8993015342.0,739249.0,4158991663.0,98.16,0.43,0.58,0.5,0.33,19.3,99.73,0.04,0.23,0.0,0.0,5.57,93.1,3.41,1.83,1.56,0.1,11.66,4084769.98,2112699.39,4452774.68,327293.4,96.65,1.53,0.97,0.75,0.11,10650244.05,10.84,38.35,1350833.0,262226.0,429274.0,453309.0,7267812.0,624203.0,8771.0,460953.0,4742267.0,6956.0,3427.0,4380291.0,6240600.0,3069192.0,5675.0,1,12.0,999999999.0,240.0,1.0,1,30.0,24800000.0,72.0,2.0,1,34.0,57000000.0,18.0,1,1,26.83,100.0,12.0,1,1,27000.0,70000.0,56.0,1,133.44,133.44,1,18500.0,12.0,1,1,6
00011,BANCO DE LA NACION ARGENTINA,publico,47967263079.0,,233467964.0,-14903011.0,52027850.0,5038191261.0,10534641360.0,-400019701.0,-3050065.0,4597362010.0,21538057544.0,,716464549.0,716925118.0,168099499.0,1378198212.0,2780078770.0,168489816.0,22480458582.0,,1.0,31046332752.0,,4988841445.0,4177227558.0,-9985219093.0,-453293832.0,235676989.0,829775635.0,-1788302150.0,676243381.0,-1746429431.0,25345942955.0,495424728.0,-159974079.0,3394897814.0,510477368.0,1144984990.0,,844736307.0,508610064.0,-1282467122.0,3080478042.0,5325400184.0,-1310256961.0,16395544855.0,32817609943.0,15149653136.0,1080413296.0,58570210.0,34209402.0,1565221093.0,11220181123.0,8950398100.0,630083636.0,-351453329.0,1151910764.0,83472735.0,15042969953.0,3313035071.0,-7023507593.0,4615011776.0,1500000.0,14391306220.0,1001617062.0,19532503080.0,98.56,1.06,0.12,0.11,0.15,26.82,97.12,0.97,0.11,0.31,1.5,9.85,96.1,2.37,0.62,0.46,0.45,53.23,6373813.52,3716240.83,5799280.62,413780.65,97.09,1.5,0.3,0.32,0.8,15889334.96,29.65,40.11,1144348.0,33786.0,7184888.0,322054.0,20250566.0,4944838.0,57523.0,1066088.0,4548393.0,66194.0,20695.0,5081452.0,21095087.0,2429554.0,16847.0,1,6.17,521192700.0,360.0,24.0,1,45.37,100000000.0,72.0,5.0,1,,,,0,1,25.66,100.0,10.0,1,1,9427.0,75038.0,12.0,1,103.18,103.18,0,8801.54,1.0,1,1,5
00014,BANCO DE LA PROVINCIA DE BUENOS AIR,publico,14770115398.0,25693808.0,153518128.0,-139305864.0,28064280.0,3872183452.0,2938164586.0,-87167403.0,-203835.0,7309981922.0,1799857915.0,2694741.0,151374224.0,173888182.0,63878260.0,1079744856.0,425250086.0,13259503.0,4815552660.0,,1239486183.0,10700866583.0,-35913.0,1855720647.0,2242988800.0,-3428232938.0,-782505361.0,,42538314.0,-1480327626.0,57364746.0,,6443824067.0,455169909.0,-16972622.0,956039880.0,147655223.0,238959886.0,,242715679.0,714963774.0,-39949043.0,1812211124.0,614233848.0,-665191352.0,3022745644.0,11763499015.0,3006616383.0,242679766.0,11721257.0,5649461.0,1113345662.0,3477290238.0,3421078423.0,141617814.0,-116545932.0,1252275739.0,103059311.0,5830674384.0,28502754.0,-1100366743.0,68451797.0,2.0,5933335680.0,13884634.0,4325176237.0,98.39,0.92,0.37,0.22,0.1,11.86,98.36,1.59,0.0,0.04,,4.2,95.74,1.74,1.3,0.83,0.39,2.24,1253743.43,1691595.62,3390120.93,118169.35,96.97,1.49,0.8,0.51,0.24,6335459.98,5.19,19.79,1297945.0,23501.0,1439705.0,1207704.0,12327538.0,1295656.0,44367.0,329365.0,4686910.0,25373.0,6474.0,5231215.0,11553671.0,2265627.0,10401.0,0,37.22,345689450.0,240.0,60.0,1,77.88,50000000.0,60.0,22.0,1,,,,0,1,24.48,100.0,20.0,1,1,24700.0,85000.0,72.0,1,40.42,40.42,1,0.0,11.0,1,1,5
00015,INDUSTRIAL AND COMMERCIAL BANK OF C,extranjero,7607866008.0,105861793.0,159610348.0,-3138731.0,2350503.0,2152753533.0,1417488571.0,-107098062.0,-14195.0,5410716395.0,559829840.0,12324687.0,208460029.0,21111480.0,22191246.0,1012777098.0,,56216680.0,22237066085.0,505399970.0,440480261.0,4655877519.0,,104569051.0,1376719905.0,-1112828707.0,-125730021.0,,,-659485828.0,22696685.0,-33028280.0,2845191268.0,187004996.0,-5560242.0,65241686.0,87389734.0,171753836.0,,4900526.0,1090328074.0,-113239195.0,1638843293.0,236329288.0,-236064752.0,1336822364.0,6021956536.0,1585909472.0,4900526.0,672555.0,10219495.0,123100731.0,1290357381.0,1508368904.0,419887132.0,-77828352.0,328023192.0,93777612.0,2455603496.0,54934813.0,-758537576.0,168420901.0,7569576.0,2525235758.0,626514.0,2876620034.0,98.55,0.71,0.38,0.16,0.21,21.6,99.86,0.14,0.0,0.0,0.0,17.02,95.44,2.17,1.49,0.79,0.11,8.03,1363338.09,330510.68,1277904.64,82255.46,97.81,1.08,0.68,0.36,0.07,2971753.41,13.66,45.88,207523.0,14506.0,77004.0,147574.0,1803462.0,6293.0,2125.0,81585.0,1073334.0,188.0,15765.0,1585465.0,1620488.0,1189065.0,3413.0,1,9.27,300000000.0,240.0,2.0,1,147.19,145000000.0,96.0,8.0,1,67.97,130000000.0,7.0,1,1,23.89,1000.0,6.0,1,1,26000.0,76000.0,3.0,1,120.78,120.78,0,0.0,8.0,1,1,6
00016,CITIBANK N.A.,extranjero,4252712440.0,,99580850.0,,142603.0,548088386.0,1104744507.0,-39754321.0,,305155090.0,320959244.0,3221227.0,390573096.0,383106.0,1683701.0,1459418029.0,,31069531.0,3108493709.0,309754121.0,125969562.0,2010410925.0,,174045440.0,1393659670.0,-157682727.0,-33689660.0,,,-413432090.0,13430086.0,216451425.0,1465306348.0,154607225.0,-6668999.0,92486638.0,1518163.0,132782923.0,,,398351706.0,80141.0,390888786.0,812752886.0,-137658598.0,507196089.0,2552404009.0,1700308431.0,,48197.0,16594.0,,,958110259.0,5492358.0,-52607994.0,64090683.0,10841861.0,717111829.0,-156270497.0,-1434988594.0,595563924.0,464664.0,769255159.0,,871112249.0,,,,,,,100.0,0.0,,0.0,,9.49,,,,,,,847509.09,,,54943.65,100.0,0.0,,0.0,,847509.09,9.49,100.0,,,,2081.0,714.0,,,,1179.0,56.0,47.0,,,,1059.0,0,,,,,0,,,,,0,,,,0,0,,,,0,0,,,,0,,,0,,,0,0,0
00017,BANCO BBVA ARGENTINA S.A.,extranjero,14486092511.0,68621326.0,633511468.0,-22417197.0,150144580.0,4569129641.0,2225621964.0,-212430079.0,,12069845918.0,2106954324.0,23338252.0,478514630.0,108704245.0,12603178.0,1762401617.0,,234418539.0,31317355057.0,764767332.0,784084062.0,9961696169.0,,1862633660.0,2816873683.0,-2094444014.0,-332106309.0,53417266.0,,-1138905552.0,47015726.0,-66875894.0,5076193430.0,554655844.0,-102076679.0,349231995.0,110735344.0,515883474.0,,44463797.0,1379222637.0,-328990098.0,3519456296.0,476629758.0,-526314044.0,1734316719.0,11907228110.0,2578864401.0,97881063.0,4560288.0,3423219.0,759593013.0,3309473565.0,3341876711.0,70239601.0,-167731920.0,646164404.0,47002611.0,7122612459.0,24252339.0,-1415780136.0,353242437.0,172191770.0,7117187883.0,964726.0,2600752068.0,99.08,0.27,0.2,0.2,0.25,3.27,99.9,0.0,0.09,0.01,0.0,0.54,95.64,1.82,1.39,1.06,0.08,8.26,3686324.98,813639.15,3157566.86,168847.25,98.06,0.78,0.64,0.46,0.06,7657531.0,4.02,48.14,866488.0,68687.0,386663.0,2239373.0,6437239.0,258673.0,5970.0,294253.0,3417520.0,4298.0,15230.0,5216767.0,4232586.0,5300275.0,6193.0,1,7.76,999999999.0,360.0,13.0,1,249.85,70000000.0,72.0,7.0,1,28.0,55000000.0,4.0,1,1,22.54,1000.0,12.0,1,1,22900.0,78900.0,49.0,1,106.41,106.41,1,28900.0,8.0,1,1,6
00020,BANCO DE LA PROVINCIA DE CORDOBA S.,publico,4231255382.0,54640853.0,24343733.0,-22009744.0,7941510.0,615217125.0,438069052.0,-33969866.0,,1325890554.0,580649878.0,,167159813.0,4843346.0,14674725.0,172611427.0,,3082519.0,1238438911.0,46160590.0,722742569.0,3097896822.0,,249832652.0,387371311.0,-1004199389.0,-60159444.0,,,-440597354.0,174553420.0,-64083959.0,1800987961.0,143003261.0,-20532990.0,449664052.0,28803245.0,157775036.0,,9527436.0,286513769.0,,652837757.0,168159068.0,-148429280.0,1173815525.0,3581794018.0,649461364.0,9527436.0,3344573.0,14957214.0,330379376.0,1477092111.0,627172436.0,14171415.0,-33136948.0,166021742.0,24651177.0,1865368812.0,105110167.0,-268941867.0,211392312.0,1228.0,1853239671.0,45266089.0,1401720264.0,99.33,0.24,0.12,0.26,0.05,10.95,97.5,1.24,0.0,1.26,0.0,6.47,97.35,1.26,0.64,0.59,0.16,32.28,383759.8,250989.32,1375577.61,33263.65,97.63,1.13,0.45,0.68,0.12,2010326.73,24.69,19.09,228749.0,2278.0,604251.0,623650.0,2812381.0,480784.0,1856.0,173398.0,1306587.0,8834.0,987.0,951566.0,733843.0,649318.0,2014.0,1,8.9,468092500.0,240.0,12.0,1,114.99,138720000.0,72.0,7.0,1,,,,0,1,25.37,100.0,17.0,1,0,14000.0,14000.0,3.0,1,369.88,369.88,1,4345.99,18.0,1,1,5
00027,BANCO SUPERVIELLE S.A.,privado_nacional,4291845949.0,94493198.0,79537627.0,1420822.0,96263082.0,1687785002.0,573268700.0,-52659890.0,,1591828310.0,838898084.0,61262033.0,155816064.0,14082050.0,4580588.0,386100742.0,647.0,27379816.0,1803269596.0,38216354.0,23087180.0,3173735660.0,,627605603.0,641673629.0,-958935129.0,-80475120.0,,,-475814812.0,122296694.0,-31996992.0,1873410070.0,148247850.0,-32690209.0,203050173.0,21685966.0,99999015.0,,8493.0,307264746.0,-13991812.0,654239538.0,76519382.0,-113147107.0,534440670.0,3623410809.0,668435140.0,8493.0,208394.0,1917670.0,285710093.0,898408761.0,1338969400.0,184075766.0,-48418781.0,98417508.0,40493718.0,2100465799.0,81241166.0,-250452994.0,95166440.0,20406639.0,2125246107.0,3231834.0,966718367.0,96.0,2.4,0.86,0.5,0.24,35.31,98.04,1.13,0.8,0.03,0.0,5.49,96.89,1.5,0.89,0.63,0.09,29.19,1075772.04,589900.18,819105.78,49855.76,97.18,1.55,0.84,0.34,0.09,2484778.0,20.38,43.29,172248.0,13835.0,613292.0,40840.0,1809646.0,801994.0,2015.0,48537.0,1861727.0,2113.0,28127.0,852390.0,2194419.0,674681.0,3056.0,1,18.39,99999999.0,180.0,54.0,1,176.31,75000000.0,72.0,48.0,1,49.65,85250000.0,16.0,1,1,23.6,100.0,20.0,1,1,0.0,83400.0,52.0,1,142.75,142.75,1,10800.0,11.0,1,1,6
00029,BANCO DE LA CIUDAD DE BUENOS AIRES,publico,6742856993.0,26246250.0,88910782.0,-124139.0,8471291.0,1141818622.0,958031998.0,-35548179.0,-885856.0,2328247941.0,1792643255.0,1518704.0,65875934.0,27037328.0,17643571.0,159200337.0,75906292.0,2840409.0,110599124.0,,129029000.0,4861000748.0,,508315315.0,1020968365.0,-1344869309.0,-80259261.0,,,-336143369.0,123743321.0,-123589807.0,3213198617.0,81691690.0,-1112906.0,437555460.0,14325651.0,75706858.0,,1985165.0,170713252.0,-17291116.0,445066644.0,1267287184.0,-200026481.0,1708590043.0,5121886493.0,1620970500.0,1985165.0,,,196359920.0,683681641.0,1504608574.0,13768731.0,-42179708.0,161232677.0,14465635.0,1781984550.0,360078597.0,-904700770.0,662938502.0,29.0,1811597272.0,12566957.0,2407286873.0,98.94,0.13,0.11,0.14,0.67,49.33,97.27,0.57,0.0,0.61,1.55,7.64,95.74,1.86,0.9,0.93,0.56,10.46,748157.13,183658.36,1062492.31,44047.23,96.61,1.22,0.49,0.74,0.94,1994307.79,12.98,37.51,270999.0,3827.0,90756.0,41350.0,1110007.0,177760.0,2122.0,163175.0,156963.0,19475.0,372.0,947908.0,1623054.0,785310.0,2446.0,1,10.36,300000000.0,240.0,68.0,1,127.33,40000000.0,72.0,12.0,1,63.21,28000000.0,2.0,1,1,20.75,100.0,24.0,1,0,26734.0,26734.0,42.0,1,125.3,125.3,0,6458.0,6.0,1,1,6
00034,BANCO PATAGONIA S.A.,privado_nacional,5962677163.0,4727745.0,857775631.0,-7260337.0,3915513.0,1714439772.0,1103923014.0,-22512816.0,,1543218972.0,345965184.0,19339703.0,143889837.0,6295435.0,1792498.0,287117748.0,301691942.0,45048454.0,5227155507.0,123339617.0,6572588.0,4133217770.0,,426286664.0,841925227.0,-1216142887.0,-93374016.0,24752582.0,,-369226149.0,19915538.0,-96021066.0,2561593350.0,155066308.0,-3425796.0,63951876.0,70538259.0,156043252.0,,25652805.0,355230041.0,-33722256.0,504183494.0,117894655.0,-185031638.0,782312943.0,4651468678.0,1311208485.0,50405387.0,31323.0,463139.0,197098693.0,1592373039.0,1779280407.0,,-18829873.0,155421755.0,6514476.0,2224674045.0,173563215.0,-717322052.0,207285471.0,184298261.0,2058525763.0,679894.0,2400451973.0,99.64,0.2,0.1,0.06,0.01,40.08,100.0,0.0,0.0,0.0,0.0,9.09,97.1,1.31,0.79,0.69,0.11,2.91,1711683.9,90090.9,673369.26,19171.31,99.2,0.36,0.22,0.19,0.03,2475144.05,8.54,69.15,277049.0,13516.0,83756.0,171296.0,2332198.0,233785.0,2910.0,82440.0,990614.0,758.0,,922702.0,2457134.0,617638.0,2875.0,1,13.24,140000000.0,360.0,3.0,1,129.55,30000000.0,60.0,2.0,1,,,,0,1,20.75,500.0,32.0,1,0,21250.0,21250.0,5.0,1,126.1,126.1,0,10436.25,1.0,1,1,5
